id,artiste,organisme,adresse,annee,arrondissement,programme_entente,latitude,longitude,image
26,"Arnaud Grégoire","MU","12 631, 6350-6358, 6320-6326, avenue Chartrand","2012","Montréal-Nord","Programme graffitis et murales",45.622605,-73.624465,"https://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie3.jpg"
27,"Jeunes résidents de Place Normandie","MU","12 631, 6350-6358, 6320-6326, avenue Chartrand","2012","Montréal-Nord","Programme graffitis et murales",45.623151,-73.624774,"https://depot.ville.montreal.qc.ca/murales/MU-PlaceNormandie4.jpg"
28,"Gene Pendon","MU","4201, boulevard Robert ","2012","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.576336,-73.609746,"https://depot.ville.montreal.qc.ca/murales/MU-CentenaireSt-Michel.jpg"
29,"Arpi (René-Pierre Beaudry)","MU","2615, rue Notre-Dame Ouest","2012","Le Sud-Ouest","Programme graffitis et murales",45.48249,-73.576218,"https://depot.ville.montreal.qc.ca/murales/MU-Vamonos.jpg"
30,"A'Shop","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","coin des rues Décarie et Sherbrooke","2012","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme graffitis et murales",45.474627,-73.608797,"https://depot.ville.montreal.qc.ca/murales/PrevCDN-NDG_Ashop2012.jpg"
31,"Laurent Gascon ","Société pour Promouvoir les Arts Gigantesques (SPAG)","2222, rue Ontario Est entre les rues Fullum et Parthenais","2012","Ville-Marie","Programme graffitis et murales",45.529799,-73.555519,"https://depot.ville.montreal.qc.ca/murales/SPAG-Murale-Marjo.jpg"
32,"Nayan","SODER","5776, 2e Avenue (ruelle) ","2012","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.547534,-73.582381,"https://depot.ville.montreal.qc.ca/murales/SODER-Nayan2012.jpg"
33,"Laurent Gascon ","Société pour Promouvoir les Arts Gigantesques (SPAG)","2371, rue Ontario Est","2013","Ville-Marie","Programme graffitis et murales",45.531291,-73.554416,"https://depot.ville.montreal.qc.ca/murales/SPAG-2371OntarioEst.jpg"
34,"Artducommun","Maison des Jeunes l'Escalier de Lachine","357, rue Saint-Jacques","2013","Lachine","Programme graffitis et murales",45.44333,-73.648853,"https://depot.ville.montreal.qc.ca/murales/MJE-357StJacques1.jpg"
35,"Artducommun","Maison des Jeunes l'Escalier de Lachine","357, rue Saint-Jacques","2013","Lachine","Programme graffitis et murales",45.443261,-73.648972,"https://depot.ville.montreal.qc.ca/murales/MJE-357StJacques2.jpg"
36,"Artducommun","Maison des Jeunes l'Escalier de Lachine","150, rue Notre-Dame","2013","Lachine","Programme graffitis et murales",45.443252,-73.644883,"https://depot.ville.montreal.qc.ca/murales/MJE-150NotreDame.jpg"
37,"Collectif Au pied du mur ","Carrefour d'éducation populaire de Pointe-Saint-Charles","coin des rues Knox et Hibernia","2013","Le Sud-Ouest","Programme graffitis et murales",45.478752,-73.562949,"https://depot.ville.montreal.qc.ca/murales/CEP-Knox-Hiberna.jpg"
38,"Phillip Adams","MU","152, rue Ontario Est","2013","Ville-Marie","Programme graffitis et murales",45.513182,-73.565709,"https://depot.ville.montreal.qc.ca/murales/MU-152OntarioE.jpg"
39,"Carlito Dalceggio ","MU","7800, rue Jacques Rousseau","2013","Rivière-des-Prairies–Pointe-aux-Trembles","Programme graffitis et murales",45.637428,-73.601674,"https://depot.ville.montreal.qc.ca/murales/MU-7800JacquesRousseau.jpg"
40,"OTHER - Cette murale n'est plus visible","MU","5413, rue Wellington","2013","Verdun","Programme graffitis et murales",45.452909,-73.567891,"https://depot.ville.montreal.qc.ca/murales/MU-5413Wellington.jpg"
41,"Labrona et Christopher Ross
","MU","métro Jarry","2013","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.543349,-73.628419,"https://depot.ville.montreal.qc.ca/murales/MU_Villeray_2013_Labrona_Final_creditsMU-960x720.jpg"
42,"A'Shop","Y’a QuelQu’un l’aut’bord du mur (YQQ)","coin des rues Souligny et Cadillac","2013","Mercier–Hochelaga-Maisonneuve","Programme graffitis et murales",45.572157,-73.532535,"https://depot.ville.montreal.qc.ca/murales/YQQ-Souligny-Cadillac.jpg"
43,"A'Shop","Y’a QuelQu’un l’aut’bord du mur (YQQ)","1697, rue de Ville-Marie (ruelle Vimont)","2013","Mercier–Hochelaga-Maisonneuve","Programme graffitis et murales",45.559247,-73.532436,"https://depot.ville.montreal.qc.ca/murales/YQQ-RuelleVimont.jpg"
44,"A'Shop (Zek One et Dodo Ose) - Cette murale n'est plus visible","Y’a QuelQu’un l’aut’bord du mur (YQQ)","coin de la rue Ontario et de la ruelle Ville-Marie","2013","Mercier–Hochelaga-Maisonneuve","Programme graffitis et murales",45.559581,-73.535247,"https://depot.ville.montreal.qc.ca/murales/YQQ-RuelleOntario.jpg"
45,"Pascal Fournier","SODER","7077, rue Christophe-Colomb (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.542254,-73.610239,"https://depot.ville.montreal.qc.ca/murales/SODER-Colomb-deLaRoche-JTalon-Belanger.jpg"
46,"Philippe Mastrocola","SODER","5324, 4e avenue (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.546691,-73.575087,"https://depot.ville.montreal.qc.ca/murales/SODER-3-4-Masson-Laurier.jpg"
47,"Nayan","SODER","5012, 7e avenue (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.547368,-73.570805,"https://depot.ville.montreal.qc.ca/murales/SODER-6-7-Laurier-StJoseph.jpg"
48,"Philippe Mastrocola","SODER","211 et 215 Beaubien Est (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.532204,-73.607209,"https://depot.ville.montreal.qc.ca/murales/SODER-DeGaspe-Alma-StZotique-Beaubien.jpg"
49,"Isabelle Leclerc","SODER","2148, rue Beaubien (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.545833,-73.594148,"https://depot.ville.montreal.qc.ca/murales/SODER-DeLorimier-DesErables-Beaubien-Bellechasse.jpg"
50,"Mateo (Mathieu Bories)","SODER","280, rue Saint-Zotique Ouest (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.528743,-73.615862,"https://depot.ville.montreal.qc.ca/murales/SODER-Parc-JMance-StZotique-Beaubien.jpg"
51,"Adeline Benhammouda","SODER","3880, rue Rachel Est (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.552472,-73.556131,"https://depot.ville.montreal.qc.ca/murales/SODER-Bourbonniere-DOrleans-Rachel-Sherbrooke.jpg"
52,"Monk.E","SODER","148, rue Jean Talon Ouest (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.532897,-73.619348,"https://depot.ville.montreal.qc.ca/murales/SODER-Waverly-AtUrbain-JTalon-Mozart.jpg"
53,"Adèle Zanni","SODER","1250, rue de Bellechasse (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.537688,-73.596519,"https://depot.ville.montreal.qc.ca/murales/SODER-DeNormanville-Chambord-Bellechasse-Rosemont.jpg"
54,"Fanny Aishaa","SODER","5570, 7e avenue (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.549318,-73.577235,"https://depot.ville.montreal.qc.ca/murales/SODER-6-7-Dandurand-Masson.jpg"
55,"Mateo (Mathieu Bories)","SODER","2650, rue Masson (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.545917,-73.575735,"https://depot.ville.montreal.qc.ca/murales/SODER-2-3-Masson-Laurier.jpg"
56,"Omen","SODER","5725, 2e avenue (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.547559,-73.580973,"https://depot.ville.montreal.qc.ca/murales/SODER-Rosemont-Holt-2-3.jpg"
57,"A'Shop","SODER","6232, rue De Normanville (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.537862,-73.59796,"https://depot.ville.montreal.qc.ca/murales/SODER-Beaubien-Bellechasse.jpg"
58,"A'Shop","SODER","5750, 9e avenue (ruelle)","2013","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.551396,-73.57983,"https://depot.ville.montreal.qc.ca/murales/SODER-Rosemont-Holt-8-9.jpg"
59,"Scribe CSX","SODER","3042, rue Dandurand","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.549988,-73.577004,"https://depot.ville.montreal.qc.ca/murales/_0148784p.jpg"
60,"A'Shop","SODER","2842, rue Holt (ruelle)","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.548974,-73.58048,"https://depot.ville.montreal.qc.ca/murales/_0147199p.jpg"
61,"Nayan","SODER","5881, 4e avenue (ruelle)","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.549358,-73.583043,"https://depot.ville.montreal.qc.ca/murales/_0147202p.jpg"
62,"Mateo (Mathieu Bories)","SODER","5929, 5e avenue (ruelle)","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.549358,-73.583043,"https://depot.ville.montreal.qc.ca/murales/_0147205p.jpg"
63,"Monk.E","SODER","6785, 2e avenue (ruelle)","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.553622,-73.594561,"https://depot.ville.montreal.qc.ca/murales/_0147209p.jpg"
64,"A'Shop","Y’a QuelQu’un l’aut’bord du mur (YQQ)","5000, rue Ontario Est","2014","Mercier–Hochelaga-Maisonneuve","Programme graffitis et murales",45.55975,-73.534759,"https://depot.ville.montreal.qc.ca/murales/_0148772p.jpg"
65,"Laurent Gascon","Société pour Promouvoir les Arts Gigantesques (SPAG)","coin des rues Ontario Est et Hogan","2014","Ville-Marie","Programme graffitis et murales",45.535311,-73.551266,"https://depot.ville.montreal.qc.ca/murales/_0148774p.jpg"
66,"Yves Paradis","SODER","5545, rue Lafond (ruelle)","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.553616,-73.574693,"https://depot.ville.montreal.qc.ca/murales/_0148778p.jpg"
67,"A'Shop","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","3518, rue Lacombe","2014","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme graffitis et murales",45.49735,-73.622495,"https://depot.ville.montreal.qc.ca/murales/_0148799p.jpg"
68,"A'Shop","Prévention du crime Ahuntsic-Cartierville","chalet du parc Louisbourg","2014","Ahuntsic-Cartierville","Programme graffitis et murales",45.528117,-73.708178,"https://depot.ville.montreal.qc.ca/murales/_0148800p.jpg"
69,"Thomas Csano","MU","coin des rues Iberville et Jarry, sous le boulevard Métropolitain ","2014","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.557629,-73.614719,"https://depot.ville.montreal.qc.ca/murales/_0148805p.jpg"
70,"Labrona","MU","métro Jarry","2014","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.543303,-73.628454,"https://depot.ville.montreal.qc.ca/murales/_0148824p.jpg"
71,"A'Shop","SODER","7025, rue Fabre","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.545961,-73.605634,"https://depot.ville.montreal.qc.ca/murales/_0148829p.jpg"
72,"Mateo (Mathieu Bories)","SODER","1450, rue Jean Talon","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.546118,-73.608213,"https://depot.ville.montreal.qc.ca/murales/_0148838p.jpg"
73,"Maxime Fortin","SODER","1960, rue Beaubien (ruelle)","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.544523,-73.59512,"https://depot.ville.montreal.qc.ca/murales/_0148844p.jpg"
74,"A'Shop","SODER","532, rue Saint-Zotique","2014","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.536599,-73.607274,"https://depot.ville.montreal.qc.ca/murales/_0149036p.jpg"
75,"Rafael Sottolichio","MU","4625, rue Saint-Dominique","2014","Le Plateau-Mont-Royal","Programme graffitis et murales",45.521529,-73.587676,"https://depot.ville.montreal.qc.ca/murales/_0148861p.jpg"
