id,artiste,organisme,adresse,annee,arrondissement,programme_entente,latitude,longitude,image
113,"Artducommun","Coalition de la Petite-Bourgogne/Quartier en santé","1788, rue Terrasse Coursol","2016","Le Sud-Ouest","Programme d'art mural (volet 2)",45.4907662,-73.5736971,"https://depot.ville.montreal.qc.ca/murales/murale-anglais-3-coalitionpetitebourgogne.jpg"
114,"Artducommun","Coalition de la Petite-Bourgogne/Quartier en santé","735, rue Dominion","2016","Le Sud-Ouest","Programme d'art mural (volet 2)",45.4869151,-73.5784368,"https://depot.ville.montreal.qc.ca/murales/murale-arabe-3-coalitionpetitebourgogne.jpg"
115,"Artducommun","Coalition de la Petite-Bourgogne/Quartier en santé","570, rue Charlevoix","2016","Le Sud-Ouest","Programme d'art mural (volet 2)",45.4832678,-73.5791587,"https://depot.ville.montreal.qc.ca/murales/murale-bengali-1-coalitionpetitebourgogne.jpg"
116,"A'Shop (Bryan Beyung, Ankh One, Monk.E)","École primaire au-Pied-de-la-Montagne","coin des rues Roy et Henri-Julien (cour d'école)","2016","Le Plateau-Mont-Royal","Programme d'art mural (volet 2)",45.5178509,-73.5743038,"https://depot.ville.montreal.qc.ca/murales/Au-Pied-De-La-Montagne.jpg"
117,"A'Shop (Zek One, Monk.E et les élèves)","École secondaire Monseigneur-Richard","3000, boul. Gaétan-Laberge coin Gilberte-Dubé","2016","Verdun","Programme d'art mural (volet 2)",45.469836,-73.5628562,"https://depot.ville.montreal.qc.ca/murales/zek_monke_richard_HD_creditsAShop.jpg"
118,"A'Shop (Fluke, Ankh One)","La Table de quartier Hochelaga-Maisonneuve (LTQHM)","3562, rue Sainte-Catherine Est","2016","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.542918,-73.5391202,"https://depot.ville.montreal.qc.ca/murales/Credit_AnkhOne_AShop.jpg"
119,"Atelier Nayan, Nelson Béguin et citoyenNes","La Table de quartier Hochelaga-Maisonneuve (LTQHM)","1635, rue Darling","2016","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.5415322,-73.545419,"https://depot.ville.montreal.qc.ca/murales/20160929-Lien-Vert-Hochelaga-078.jpg"
120,"Artducommun","Comité graffiti Lachine","410, rue Saint-Jacques, Lachine","2016","Lachine","Programme d'art mural (volet 2)",45.4432034,-73.6509111,"https://depot.ville.montreal.qc.ca/murales/Artducommun-Lachine2016arche.jpg"
121,"Gene Pendon et Les Hommes de lettres","MU","1755, rue Robin et 1750, rue Montcalm (diptyque)","2016","Ville-Marie","Programme d'art mural (volet 2)",45.51987,-73.5608717,"https://depot.ville.montreal.qc.ca/murales/MU_QUATSOUS_2016_creditsOlivierBousquet2.jpg"
122,"Kevin Ledo","MU","2130-2150, rue Montcalm","2016","Ville-Marie","Programme d'art mural (volet 2)",45.5214565,-73.5637313,"https://depot.ville.montreal.qc.ca/murales/MU_MONTCALM_2016_creditsOlivierBousquet1.jpg"
123,"Phillip Adams","MU","81, boulevard De Maisonneuve Est","2016","Ville-Marie","Programme d'art mural (volet 2)",45.5113195,-73.5657232,"https://depot.ville.montreal.qc.ca/murales/MU_HJM_2016_Phillip_Adams_creditsOlivierBousquet1.jpg"
124,"Melissa del Pinto","MU","2120, rue Crescent (dans la ruelle, à l'arrière)","2016","Ville-Marie","Programme d'art mural (volet 2)",45.498286,-73.5805827,"https://depot.ville.montreal.qc.ca/murales/MU_RUELLEMBAM_2016_del_Pinto_creditsOlivierBousquet.jpg"
125,"A'Shop (Zek One, Fleo, Fonki, Miss Teri, Rouks, Five 8, Shadow, Ankh One, Monk.E, Strike, Flying Eric, Astro)","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","2161, avenue Melrose (coin de Maisonneuve)","2016","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme d'art mural (volet 2)",45.4683403,-73.6151681,"https://depot.ville.montreal.qc.ca/murales/ankh_shadow_hhyds_HD.jpg"
126,"A'Shop (Dodo Ose) ","Éco-quartier Peter-McGill (SAESEM)","1871, rue Sainte-Catherine Ouest","2016","Ville-Marie","Programme d'art mural (volet 2)",45.4928239,-73.5826153,"https://depot.ville.montreal.qc.ca/murales/ashop_fontainebartholdi_HD.jpg"
127,"A'Shop (Rouks)","Éco-quartier Peter-McGill (SAESEM)","1193, rue Sussex","2016","Ville-Marie","Programme d'art mural (volet 2)",45.48959,-73.5836297,"https://depot.ville.montreal.qc.ca/murales/ashop_sussex_HD.jpg"
128,"A'Shop (Zek One)","Éco-quartier Peter-McGill (SAESEM)","1933, rue Sainte-Catherine Ouest","2016","Ville-Marie","Programme d'art mural (volet 2)",45.4924377,-73.5830799,"https://depot.ville.montreal.qc.ca/murales/ashop_rotisserie_HD.jpg"
129,"A'Shop (123Klan, Ankh One, Dodo Ose, Esprit, Osti one, Fluke, Monk.E, Zek One, Benny Wliding, Dre, Five8, Axe, Snikr, Lorem Ipsum)","SODER","100, Beaubien Ouest (sur la piste cyclable, au coin de la rue Clark)","2016","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.529215,-73.610607,"https://depot.ville.montreal.qc.ca/murales/scien_klor_cheminvert_HD.jpg"
130,"Laurent Gascon","Société pour Promouvoir les Arts Gigantesques (SPAG)","3845, rue Ontario Est","2016","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.547977,-73.543404,"https://depot.ville.montreal.qc.ca/murales/SPAG-Vigneault2016.jpg"
131,"Cyndie Belhumeur","Vrac Environnement","parc Jarry, au Nord du parc à l’angle de la rue Esplanade","2016","Villeray–Saint-Michel–Parc-Extension","Programme d'art mural (volet 2)",45.5343903,-73.6285544,"https://depot.ville.montreal.qc.ca/murales/AtelierCultureVelo_CreditArrondissementVSMPE.jpg"
132,"A'Shop (Astro)","Y’a QuelQu’un l’aut’bord du mur (YQQ)","1611-1615, avenue d’Orléans (dans la ruelle Girard, à l'arrière)","2016","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.547797,-73.538655,"https://depot.ville.montreal.qc.ca/murales/YQQ_Ruelle_Girard_1.jpg"
133,"A'Shop (Fonki)","Y’a QuelQu’un l’aut’bord du mur (YQQ)","2215-2217, rue Joliette (dans la ruelle Sansregret, à l'arrière)","2016","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.545889,-73.54776,"https://depot.ville.montreal.qc.ca/murales/YQQ_Sansregret_nord_2.jpg"
134,"A'Shop (Dodo Ose)","Y’a QuelQu’un l’aut’bord du mur (YQQ)","3607, rue Ontario Est (dans la ruelle Sansregret, à l'arrière)","2016","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.545404,-73.545047,"https://depot.ville.montreal.qc.ca/murales/YQQ_Sansregret_sud_3.jpg"
135,"Cyndie Belhumeur","SODER","Jardin Basile-Patenaude (à l'arrière du 2535 Rue Masson)","2016","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.544242,-73.578252,"https://depot.ville.montreal.qc.ca/murales/CyndieB-jadinbasilepatenaude.jpg"
136,"Ella & Pitr","SODER","1210, boulevard Rosemont (entrée de la ruelle)","2016","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.535951,-73.593833,"https://depot.ville.montreal.qc.ca/murales/EllaPitr-soder.jpg"
137,"Mateo (Mathieu Bories)","SODER","6905, rue Garnier (entrée de la ruelle)","2016","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.5445427,-73.6046034,"https://depot.ville.montreal.qc.ca/murales/Mateo1-soder.jpg"
138,"Paulie Heart ","SODER","5365, avenue Bourbonnière (entrée de la ruelle)","2016","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.5565426,-73.5705425,"https://depot.ville.montreal.qc.ca/murales/Paulie-ruelleverte18ebourbonniere.jpg"
139,"Stare (Simon Bachand)","AGC Art Public (Artgang)","5700, boulevard Saint-Laurent","2016","Le Plateau-Mont-Royal","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.5265945,-73.6031095,"https://depot.ville.montreal.qc.ca/murales/04_AGC-Simon_Bachand.jpg"
140,"Dominique Desbiens et Bruno Rouyère","MU","19, avenue Laurier Ouest","2016","Le Plateau-Mont-Royal","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.5225221,-73.5933407,"https://depot.ville.montreal.qc.ca/murales/01_MU-Desbiens_Rouyere_creditsOlivierBousquet2.jpg"
141,"Annie Hamel","MU","6654, rue Saint-Dominique","2016","Rosemont–La Petite-Patrie","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.5317435,-73.6119791,"https://depot.ville.montreal.qc.ca/murales/02_MU-Anne_Hamel_creditsOlivierBousquet1.jpg"
142,"EL MAC (Miles MacGregor)","AGC Art Public (Artgang)","6206, rue Saint-Hubert","2016","Rosemont–La Petite-Patrie","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.534577,-73.600136,"https://depot.ville.montreal.qc.ca/murales/03_AGC-ElMac_Photo_Veronique_Duplain.jpg"
143,"Artducommun","Coalition de la Petite-Bourgogne/Quartier en santé","1955, rue Saint-Jacques","2017","Le Sud-Ouest","Programme d'art mural (volet 2)",45.488661,-73.573079,"https://depot.ville.montreal.qc.ca/murales/143-Communaute SO.jpg"
144,"Fluke ","KOLAB","1409, rue Clark","2017","Ville-Marie","Programme d'art mural (volet 2)",45.509939,-73.564328,"https://depot.ville.montreal.qc.ca/murales/144-BadNewsBrown-VM.jpg"
145,"Monk.E","École Notre-Dame-du-Perpétuel-Secours","6025, rue Beaulieu","2017","Le Sud-Ouest","Programme d'art mural (volet 2)",45.45814,-73.597433,"https://depot.ville.montreal.qc.ca/murales/145-Ecole-SO.jpg"
146,"Monk.E","Y’a QuelQu’un l’aut’bord du mur (YQQ)","2171, rue Saint-Germain","2017","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.542894,-73.549695,"https://depot.ville.montreal.qc.ca/murales/146-Envolee-MHM.jpg"
147,"Dodo Ose","SODER","1871, boulevard Rosemont","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.54172,-73.591173,"https://depot.ville.montreal.qc.ca/murales/147-Jeunesse-RPP.jpg"
148,"Zek One","La Table de quartier Hochelaga-Maisonneuve (LTQHM)","3450, rue Ontario Est","2017","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.543891,-73.544826,"https://depot.ville.montreal.qc.ca/murales/148-LienVert-MHM.jpg"
149,"Artducommun","Maison des Jeunes l'Escalier de Lachine","915, rue Notre-Dame","2017","Lachine","Programme d'art mural (volet 2)",45.434949,-73.671825,"https://depot.ville.montreal.qc.ca/murales/149-MJE-Lachine.jpg"
150,"Olivier Bonnard","Prévention du crime Ahuntsic-Cartierville","5945, boulevard Gouin Ouest","2017","Ahuntsic-Cartierville","Programme d'art mural (volet 2)",45.532001,-73.721448,"https://depot.ville.montreal.qc.ca/murales/150-Prevention AC.jpg"
151,"Fluke","Vivre Saint-Michel en santé","2901, rue Louvain est","2017","Villeray–Saint-Michel–Parc-Extension","Programme d'art mural (volet 2)",45.57106,-73.632401,"https://depot.ville.montreal.qc.ca/murales/151-Revons-VSMPE.jpg"
152,"A'Shop (Ankh One et Benny Wilding)","KOLAB","623, rue Woodland ","2017","Verdun","Programme d'art mural (volet 2)",45.452915,-73.57311,"https://depot.ville.montreal.qc.ca/murales/152-ashop-Verdun.jpg"
153,"Jason Botkin","MU","3918, rue Gertrude","2017","Verdun","Programme d'art mural (volet 2)",45.464896,-73.568865,"https://depot.ville.montreal.qc.ca/murales/153-MU_2017_VERDUN_Jason_Botkin_creditsOlivierBousquet.jpg"
154,"Carlos Oliva","MU","2045, rue Beaudry","2017","Ville-Marie","Programme d'art mural (volet 2)",45.522211,-73.562808,"https://depot.ville.montreal.qc.ca/murales/154-MU_BATISSEURSTHE_A_TRE_2017_ Maquette_DominiqueMichel.jpg"
155,"Mateo (Mathieu Bories)","MU","1806, rue Wolfe","2017","Ville-Marie","Programme d'art mural (volet 2)",45.520101,-73.561137,"https://depot.ville.montreal.qc.ca/murales/155-MU_BATISSEURSTHE_A_TRE_2017_M aquette_Denise Pelletier2.jpg"
156,"Dominique Desbiens et Bruno Rouyère","MU","1793, rue Wolfe","2017","Ville-Marie","Programme d'art mural (volet 2)",45.520246,-73.560966,"https://depot.ville.montreal.qc.ca/murales/156-MU_BATISSEURSTHE_A_TRE_2017_Ma  quette_CleěmenceDesRochers.jpg"
157,"A'Shop (Benny Wilding, Five 8, Earth Crusher)","Éco-quartier Peter-McGill (SAESEM)","1211, rue Saint-Mathieu","2017","Ville-Marie","Programme d'art mural (volet 2)",45.494278,-73.577875,"https://depot.ville.montreal.qc.ca/murales/157-SAESEM-PeterMcGill.jpg"
158,"A'Shop (Earth Crusher)","Éco-quartier Peter-McGill (SAESEM)","1215, rue Saint-Mathieu","2017","Ville-Marie","Programme d'art mural (volet 2)",45.493766,-73.578601,"https://depot.ville.montreal.qc.ca/murales/158-SAESEM-PerterMcGill2.jpg"
159,"Astro","SODER","
5300, boulevard Saint-Michel 
","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.55056,-73.571534,"https://depot.ville.montreal.qc.ca/murales/159-SODER-ASTRO-RPP.jpg"
160,"Rémi Fléo","SODER","
7173, rue Chambord","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.544926,-73.609786,"https://depot.ville.montreal.qc.ca/murales/160-SODER-FLEO-RPP.jpg"
161,"Snikr - Style Over Status","SODER","
6316, 26e avenue","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.564393,-73.57581,"https://depot.ville.montreal.qc.ca/murales/161-SODER-SNIKR-RPP.jpg"
162,"Les Hommes de Lettres","SODER","
3250 rue Masson (mur donnant sur la ruelle)","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.551312,-73.572946,"https://depot.ville.montreal.qc.ca/murales/162-SODER-LDHL-RPP.jpg"
163,"Monk.E","SODER","
5412, avenure d’Orléans","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.557442,-73.570299,"https://depot.ville.montreal.qc.ca/murales/163-SODER-MONKE-RPP.jpg"
164,"Olivier Bonnard","SODER","
2022, rue Beaubien Est","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.545439,-73.594645,"https://depot.ville.montreal.qc.ca/murales/164-SODER-LEBONNARD-RPP.jpg"
165,"SBU","SODER","
5752, avenue d’Orléans","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.558936,-73.574926,"https://depot.ville.montreal.qc.ca/murales/165-SODER-SBU-RPP.jpg"
166,"NAIMO","SODER","
4018, boulevard Rosemont (à l’angle de  l'avenue Jeanne d'arc)","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.560232,-73.574243,"https://depot.ville.montreal.qc.ca/murales/166-SODER-NAIMO-RPP.jpg"
167,"Monosourcil","SODER","
2687, rue Holt","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.548288,-73.581742,"https://depot.ville.montreal.qc.ca/murales/167-SODER-MONOSOURCIL-RPP.jpg"
168,"Axe Lalime","SODER","
5944, rue des Écores (côté ruelle)","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.545639,-73.588494,"https://depot.ville.montreal.qc.ca/murales/168-SODER-AXE-RPP.jpg"
169,"Josée Dubeau","Josée Dubeau","
5160-5190, boulevard Lasalle","2017","Verdun","Programme d'art mural (volet 3)",45.453602,-73.565344,"https://depot.ville.montreal.qc.ca/murales/Josee_Dubeau_choregraphies_cartograpiques_2017.JPG"
170,"Mono Gonzalez","MU","
205, rue Jarry Est","2017","Villeray–Saint-Michel–Parc-Extension","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.541132,-73.630344,"https://depot.ville.montreal.qc.ca/murales/Mono_Gonzalez_Mu_2017.JPG"
171,"Nelio","MU","4030, rue Notre-Dame Ouest","2017","Le Sud-Ouest","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.477806,-73.58443,"https://depot.ville.montreal.qc.ca/murales/Nelio_Mu_2017.JPG"
172,"1010","MURAL","
2175, rue Victoria","2017","Ville-Marie","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.50679,-73.574046,"https://depot.ville.montreal.qc.ca/murales/1010_MURAL_2017.jpg"
173,"Benny Wilding","AGC Art Public (Artgang)","6542-44, rue Chateaubriand","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.535906,-73.604726,"https://depot.ville.montreal.qc.ca/murales/BennyWilding_Diffusion_AGC_Montreal.JPG"
174,"VHILS","AGC Art Public (Artgang)","
767, rue Bélanger ","2017","Rosemont–La Petite-Patrie","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.53945,-73.610337,"https://depot.ville.montreal.qc.ca/murales/VHILS_Diffusion_AGC_Montreal_2017.JPG"
175,"A'Shop (Ankh One)","Y’a QuelQu’un l’aut’bord du mur (YQQ)","Coin des rues Dickson et Notre-Dame","2016","Mercier–Hochelaga-Maisonneuve","Concours lancé par le Service de la culture",45.564812,-73.524068,"https://depot.ville.montreal.qc.ca/murales/AnkhOne_AShop_PhotoDenisLabine.jpg"
176,"EL MAC (Miles MacGregor) et Gene Pendon","MU","1420, rue Crescent","2017","Ville-Marie","",45.497381,-73.576584,"https://depot.ville.montreal.qc.ca/murales/2017_Crescent_ElMac_GenePendon_creditsphoto_OlivierBousquet.jpg"
177,"Francis Montillaud","","Chemin de la Côte-des-Neiges","2017","Côte-des-Neiges–Notre-Dame-de-Grâce","Concours lancé par le Service de la culture",45.495772,-73.60939,"https://depot.ville.montreal.qc.ca/murales/Montillaud_2017.jpg"
178,"LSNR","MURAL","200, rue Rachel Est","2018","Le Plateau-Mont-Royal","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.519868,-73.579706,"https://depot.ville.montreal.qc.ca/murales/MURAL_LSNR.jpg"
179,"PONI et Cyrielle Tremblay","MURAL","3469 avenue du Parc","2018","Le Plateau-Mont-Royal","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.509259,-73.611258,"https://depot.ville.montreal.qc.ca/murales/MURAL_Poni-et-Cyrielle.jpg"
180,"Olivier Bonnard","Prévention du crime Ahuntsic-Cartierville","9060 rue Saint-Hubert","2018","Ahuntsic-Cartierville","Programme d'art mural (volet 2)",45.551375,-73.642843,"https://depot.ville.montreal.qc.ca/murales/PrevCDN-NDG-Olivier.Bonnard.jpg"
181,"Cheap Art Collective (Melanie Stuy)","Centre communautaire NDG","5770 chemin Upper Lachine","2018","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme d'art mural (volet 2)",45.467811,-73.611258,"https://depot.ville.montreal.qc.ca/murales/CentreCommunautaireNDG-CheapArtCollective(Melanie.Stuy).jpg"
182,"Artgang (Alexis Masella)","Maison des Jeunes l'Escalier de Lachine","270 boulevard Saint-Joseph","2018","Lachine","Programme d'art mural (volet 2)",45.442888,-73.665308,"https://depot.ville.montreal.qc.ca/murales/MaisonJeunesEscalierLachine-ArtgangMontreal-Alexis.Masella.jpg"
183,"Haks 180 (Hans Schmitter)","Convention internationale de la culture urbaine","5440 rue Notre-Dame Ouest","2018","Le Sud-Ouest","Programme d'art mural (volet 2)",45.468279,-73.595873,"https://depot.ville.montreal.qc.ca/murales/ConventionInternationaleCultureUrbaine-Haks180(Hans.Schmitter).jpg"
184,"Case Maclaim","MU","3711 rue Notre-Dame Ouest","2018","Le Sud-Ouest","Programme d'art mural (volet 2)",45.479639,-73.581688,"https://depot.ville.montreal.qc.ca/murales/MU-Case.Maclaim.jpg"
185,"A'Shop (Ankh One)","La Table de quartier Hochelaga-Maisonneuve (LTQHM)","1668 rue Chambly","2018","Le Sud-Ouest","Programme d'art mural (volet 2)",45.544929,-73.541807,"https://depot.ville.montreal.qc.ca/murales/TableQuartierHochelagaMaisonneuve-Ankh.One.jpg"
186,"Bryan Beyung","Y’a QuelQu’un l’aut’bord du mur (YQQ)","1455, rue William-David","2018","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.553106,-73.533991,"https://depot.ville.montreal.qc.ca/murales/EcoQuartierMercierHochelagaMaisonneuve-Brian.Beyung(YQQ).jpg"
187,"Dodo Ose","KOLAB","1149 rue Argyle","2018","Verdun","Programme d'art mural (volet 2)",45.453785,-73.579509,"https://depot.ville.montreal.qc.ca/murales/KOLAB-Dodo.Ose.jpg"
188,"Antoine Tavaglione","MU","925 rue Hickson","2018","Verdun","Programme d'art mural (volet 2)",45.465649,-73.574743,"https://depot.ville.montreal.qc.ca/murales/MU-Antoine.Tavaglione.jpg"
189,"Zek One","KOLAB","900 rue Trudeau, sur le chalet de Parc Poirier","2018","Saint-Laurent","Programme d'art mural (volet 2)",45.514322,-73.662487,"https://depot.ville.montreal.qc.ca/murales/KOLAB-Zek.One.jpg"
190,"A'Shop (Dodo Ose)","Festival Montréal en Arts","1321 rue de la visitation","2018","Ville-Marie","Programme d'art mural (volet 2)",45.5194,-73.555186,"https://depot.ville.montreal.qc.ca/murales/FestivalMontrealArts-Dodo.Ose.jpg"
191,"Kevin Ledo","MU","1791 rue St-Jacques Habitations Ilots Saint-Martin","2018","Le Sud-Ouest","Programme d'art mural (volet 2)",45.490288,-73.571546,"https://depot.ville.montreal.qc.ca/murales/MU-Kevin.Ledo.jpg"
192,"Meky Ottawa","MU","2330 avenue Lincoln","2018","Ville-Marie","Programme d'art mural (volet 2)",45.49125,-73.586267,"https://depot.ville.montreal.qc.ca/murales/MU-AssoCommissairesAutochtonesCanada(Camille.Larivee).jpg"
193,"Fluke","Société écocitoyenne de Montréal","1956 rue Frontenac","2018","Ville-Marie","Programme d'art mural (volet 2)",45.532765,-73.552101,"https://depot.ville.montreal.qc.ca/murales/SocieteEcocitoyenneMontreal-Fluke.jpg"
194,"Mateo (Mathieu Bories)","KOLAB","6952 Rue Delorimier (coin rue Bélanger)","2018","Villeray–Saint-Michel–Parc-Extension","Programme d'art mural (volet 2)",45.548942,-73.60148,"https://depot.ville.montreal.qc.ca/murales/KOLAB-Mateo.jpg"
195,"Monk.E","SODER","6017 3e avenue","2018","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.550421,-73.585491,"https://depot.ville.montreal.qc.ca/murales/SODER-Monk.E.jpg"
196,"Cyndie Belhumeur","SODER","5495 17e avenue","2018","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.556097,-73.572317,"https://depot.ville.montreal.qc.ca/murales/SODER-Cyndie.Belhumeur.jpg"
197,"Mastrocola","SODER","1985 St-ZotiqueEst ","2018","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.546596,-73.598909,"https://depot.ville.montreal.qc.ca/murales/SODER-Mastrocola.jpg"
198,"Mr Crocks","SODER","3375 A St-Zotique Est","2018","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.557642,-73.58927,"https://depot.ville.montreal.qc.ca/murales/SODER-Mr.Crocks.jpg"
199,"Naimo","SODER","5405 9e avenue","2018","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.550148,-73.574234,"https://depot.ville.montreal.qc.ca/murales/SODER-Naimo.jpg"
200,"Stack","SODER","55 rue de Bellechasse","2018","Rosemont–La Petite-Patrie","Programme d'art mural (volet 2)",45.530037,-73.604996,"https://depot.ville.montreal.qc.ca/murales/SODER-Stack.jpg"
201,"MILLO","MU","168 avenue Mont-Royal Est","2018","Le Plateau-Mont-Royal","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.5217722,-73.5847306,"https://depot.ville.montreal.qc.ca/murales/MU-MILLO.jpg"
202,"Jason Cantoro","","3680 rue Jeanne-Mance","2018","Le Plateau-Mont-Royal","Programme d'art mural (volet 3)",45.5116247,-73.5762025,"https://depot.ville.montreal.qc.ca/murales/Jason.Cantoro.jpg"
203,"Mateo (Mathieu Bories)","Éco-quartier Peter-McGill (SAESEM)","1850, boul. de Maisonneuve Ouest","2019","Ville-Marie","Programme d'art mural (volet 2)",45.494022,-73.581123,"https://depot.ville.montreal.qc.ca/murales/203-SAESEM-Mateo-VMA.jpg"
204,"Dodo Ose","Prévention du crime Ahuntsic-Cartierville","2065, boul. Henri-Bourassa","2019","Ahuntsic-Cartierville","Programme d'art mural (volet 2)",45.573572,-73.657352,"https://depot.ville.montreal.qc.ca/murales/204-Tandem-DodoOse-Ahuntsic.png"
205,"Ankh One (artiste et directeur artistique) et Romain Boz (artiste : fresque sur conteneur)","KOLAB","900, boul. Décarie","2019","Saint-Laurent","Programme d'art mural (volet 2)",45.512667,-73.680611,"https://depot.ville.montreal.qc.ca/murales/205-KOLAB-Ankhone-Saint-Laurent.jpg"
206,"Zek One","KOLAB","5940, boul. Monk","2019","Le Sud-Ouest","Programme d'art mural (volet 2)",45.459033,-73.595497,"https://depot.ville.montreal.qc.ca/murales/206-KOLAB-Zek-Sud-Ouest.jpg"
207,"Ankh One et Dodo Ose","KOLAB","4560, boul. LaSalle","2019","Verdun","Programme d'art mural (volet 2)",45.458206,-73.563128,"https://depot.ville.montreal.qc.ca/murales/207-KOLAB-Ankhone-DodoOse-Verdun.jpg"
208,"Kevin Ledo ","La Table de quartier Hochelaga-Maisonneuve (LTQHM)","1735, rue Dézéry","2019","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.540584,-73.545189,"https://depot.ville.montreal.qc.ca/murales/208-LTQHM-KevinLedo-MHM.jpg"
209,"Maliciouz","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","Parc Nelson Mandela,4920 Rue Vézina","2019","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme d'art mural (volet 2)",45.494511,-73.643961,"https://depot.ville.montreal.qc.ca/murales/209-Prevention-Maliciouz1-CDN.jpg"
210,"Maliciouz","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","Parc Nelson Mandela,4920 Rue Vézina","2019","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme d'art mural (volet 2)",45.494511,-73.643961,"https://depot.ville.montreal.qc.ca/murales/210-Prevention-Maliciouz2-CDN.jpg"
211,"Artducommun","Maison des Jeunes l'Escalier de Lachine","380, rue Provost","2019","Lachine","Programme d'art mural (volet 2)",45.442296,-73.667337,"https://depot.ville.montreal.qc.ca/murales/211-MJE-Artducommun-Lachine.jpg"
212,"Monk.E en collaboration avec Marie-Céline Charron","Société écocitoyenne de Montréal","2275, rue Bercy","2019","Ville-Marie","Programme d'art mural (volet 2)",45.536503,-73.555521,"https://depot.ville.montreal.qc.ca/murales/212-SEM-MonkE-VMA.jpg"
