Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2019-08-23;18,27;R;18;R
0123456789;D;2019-08-22;17,35;R;23;R
0123456789;D;2019-08-21;28,73;R;22;R
0123456789;D;2019-08-20;22,01;R;23;R
0123456789;D;2019-08-19;25,96;R;24;R
0123456789;D;2019-08-18;25,01;R;24;R
0123456789;D;2019-08-17;19,63;R;23;R
0123456789;D;2019-08-16;17,25;R;21;R
0123456789;D;2019-08-15;18,36;R;19;R
0123456789;D;2019-08-14;14,53;R;19;R
0123456789;D;2019-08-13;25,37;R;22;R
0123456789;D;2019-08-12;15,10;R;22;R
0123456789;D;2019-08-11;18,58;R;21;R
0123456789;D;2019-08-10;18,93;R;17;R
0123456789;D;2019-08-09;17,53;R;19;R
0123456789;D;2019-08-08;23,98;R;23;R
0123456789;D;2019-08-07;20,47;R;23;R
0123456789;D;2019-08-06;22,06;R;24;R
0123456789;D;2019-08-05;19,08;R;21;R
0123456789;D;2019-08-04;19,12;R;19;R
0123456789;D;2019-08-03;16,45;R;23;R
0123456789;D;2019-08-02;23,11;R;24;R
0123456789;D;2019-08-01;18,24;R;22;R
0123456789;D;2019-07-31;21,21;R;25;R
0123456789;D;2019-07-30;24,57;R;26;R
0123456789;D;2019-07-29;26,20;R;26;R
0123456789;D;2019-07-28;27,69;R;25;R
0123456789;D;2019-07-27;24,42;R;25;R
0123456789;D;2019-07-26;31,22;R;25;R
0123456789;D;2019-07-25;15,87;R;22;R
0123456789;D;2019-07-24;18,30;R;19;R
0123456789;D;2019-07-23;19,73;R;21;R
0123456789;D;2019-07-22;17,60;R;20;R
0123456789;D;2019-07-21;23,79;R;26;R
0123456789;D;2019-07-20;25,18;R;27;R
0123456789;D;2019-07-19;28,51;R;26;R
0123456789;D;2019-07-18;22,67;R;23;R
0123456789;D;2019-07-17;28,46;R;25;R
0123456789;D;2019-07-16;21,95;R;24;R
0123456789;D;2019-07-15;15,02;R;22;R
0123456789;D;2019-07-14;21,49;R;21;R
0123456789;D;2019-07-13;17,43;R;22;R
0123456789;D;2019-07-12;15,68;R;22;R
0123456789;D;2019-07-11;19,41;R;22;R
0123456789;D;2019-07-10;34,98;R;26;R
0123456789;D;2019-07-09;21,30;R;24;R
0123456789;D;2019-07-08;11,41;R;22;R
0123456789;D;2019-07-07;12,01;R;20;R
0123456789;D;2019-07-06;11,49;R;26;R
0123456789;D;2019-07-05;11,93;R;26;R
0123456789;D;2019-07-04;12,38;R;26;R
0123456789;D;2019-07-03;9,56;R;25;R
0123456789;D;2019-07-02;16,44;R;25;R
0123456789;D;2019-07-01;22,95;R;22;R
0123456789;D;2019-06-30;17,51;R;19;R
0123456789;D;2019-06-29;15,84;R;22;R
0123456789;D;2019-06-28;23,03;R;23;R
0123456789;D;2019-06-27;15,23;R;23;R
0123456789;D;2019-06-26;17,67;R;22;R
