Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2020-08-25;17,15;M;21;R
0123456789;D;2020-08-24;17,15;M;23;R
0123456789;D;2020-08-23;17,15;M;22;R
0123456789;D;2020-08-22;17,15;M;21;R
0123456789;D;2020-08-21;17,15;M;20;R
0123456789;D;2020-08-20;17,15;M;17;R
0123456789;D;2020-08-19;17,15;M;17;R
0123456789;D;2020-08-18;10,23;R;20;R
0123456789;D;2020-08-17;9,89;R;21;R
0123456789;D;2020-08-16;17,52;R;24;R
0123456789;D;2020-08-15;26,71;R;23;R
0123456789;D;2020-08-14;22,32;R;22;R
0123456789;D;2020-08-13;19,45;R;24;R
0123456789;D;2020-08-12;32,47;M;25;R
0123456789;D;2020-08-11;32,47;M;26;R
0123456789;D;2020-08-10;24,77;R;24;R
0123456789;D;2020-08-09;28,74;R;23;R
0123456789;D;2020-08-08;17,05;R;23;R
0123456789;D;2020-08-07;27,58;R;22;R
0123456789;D;2020-08-06;19,07;R;20;R
0123456789;D;2020-08-05;18,79;R;21;R
0123456789;D;2020-08-04;23,49;R;20;R
0123456789;D;2020-08-03;20,55;R;23;R
0123456789;D;2020-08-02;25,37;R;23;R
0123456789;D;2020-08-01;16,98;R;24;R
0123456789;D;2020-07-31;26,57;R;22;R
0123456789;D;2020-07-30;20,51;R;22;R
0123456789;D;2020-07-29;25,18;R;22;R
0123456789;D;2020-07-28;27,21;R;26;R
0123456789;D;2020-07-27;33,87;R;26;R
0123456789;D;2020-07-26;22,90;R;27;R
0123456789;D;2020-07-25;20,48;R;26;R
0123456789;D;2020-07-24;27,52;R;24;R
0123456789;D;2020-07-23;15,98;R;22;R
0123456789;D;2020-07-22;19,79;R;22;R
0123456789;D;2020-07-21;26,71;R;22;R
0123456789;D;2020-07-20;24,15;R;25;R
0123456789;D;2020-07-19;39,67;R;27;R
0123456789;D;2020-07-18;18,80;R;26;R
0123456789;D;2020-07-17;21,15;R;23;R
0123456789;D;2020-07-16;19,71;R;24;R
0123456789;D;2020-07-15;23,69;R;22;R
0123456789;D;2020-07-14;26,21;R;22;R
0123456789;D;2020-07-13;21,09;R;24;R
0123456789;D;2020-07-12;27,30;R;25;R
0123456789;D;2020-07-11;31,71;R;25;R
0123456789;D;2020-07-10;30,86;R;30;R
0123456789;D;2020-07-09;28,47;R;28;R
0123456789;D;2020-07-08;26,96;R;26;R
0123456789;D;2020-07-07;26,00;R;26;R
0123456789;D;2020-07-06;31,94;R;24;R
0123456789;D;2020-07-05;16,93;R;22;R
0123456789;D;2020-07-04;22,71;R;24;R
0123456789;D;2020-07-03;27,71;R;24;R
0123456789;D;2020-07-02;22,89;R;25;R
0123456789;D;2020-07-01;18,87;R;25;R
0123456789;D;2020-06-30;28,89;R;21;R
0123456789;D;2020-06-29;19,98;R;21;R
0123456789;D;2020-06-28;23,03;R;21;R
0123456789;D;2020-06-27;22,62;R;22;R
0123456789;D;2020-06-26;20,02;R;22;R
