Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2020-10-26;44,17;R;3;R
0123456789;D;2020-10-25;39,26;R;4;R
0123456789;D;2020-10-24;41,67;R;10;R
0123456789;D;2020-10-23;56,47;R;16;R
0123456789;D;2020-10-22;30,79;R;11;R
0123456789;D;2020-10-21;34,93;R;10;R
0123456789;D;2020-10-20;36,36;R;8;R
0123456789;D;2020-10-19;25,71;R;11;R
0123456789;D;2020-10-18;29,50;R;11;R
0123456789;D;2020-10-17;34,94;R;9;R
0123456789;D;2020-10-16;31,64;R;10;R
0123456789;D;2020-10-15;20,82;R;14;R
0123456789;D;2020-10-14;26,32;R;11;R
0123456789;D;2020-10-13;31,63;R;10;R
0123456789;D;2020-10-12;37,22;R;9;R
0123456789;D;2020-10-11;24,44;R;7;R
0123456789;D;2020-10-10;22,10;R;16;R
0123456789;D;2020-10-09;43,09;R;9;R
0123456789;D;2020-10-08;27,06;R;7;R
0123456789;D;2020-10-07;71,63;R;13;R
0123456789;D;2020-10-06;23,91;R;14;R
0123456789;D;2020-10-05;25,18;R;12;R
0123456789;D;2020-10-04;25,30;R;11;R
0123456789;D;2020-10-03;27,05;R;9;R
0123456789;D;2020-10-02;20,94;R;11;R
0123456789;D;2020-10-01;22,77;R;14;R
0123456789;D;2020-09-30;21,12;R;14;R
0123456789;D;2020-09-29;24,38;R;17;R
0123456789;D;2020-09-28;52,73;R;21;R
0123456789;D;2020-09-27;27,84;R;22;R
0123456789;D;2020-09-26;25,01;R;18;R
0123456789;D;2020-09-25;52,49;R;12;R
0123456789;D;2020-09-24;41,93;R;15;R
0123456789;D;2020-09-23;25,50;R;17;R
0123456789;D;2020-09-22;31,52;R;11;R
0123456789;D;2020-09-21;23,37;R;10;R
0123456789;D;2020-09-20;26,96;R;10;R
0123456789;D;2020-09-19;23,51;R;8;R
0123456789;D;2020-09-18;74,60;R;9;R
0123456789;D;2020-09-17;26,52;R;14;R
0123456789;D;2020-09-16;19,19;R;18;R
0123456789;D;2020-09-15;27,16;R;11;R
0123456789;D;2020-09-14;23,35;R;13;R
0123456789;D;2020-09-13;26,13;R;17;R
0123456789;D;2020-09-12;74,37;R;15;R
0123456789;D;2020-09-11;19,02;R;13;R
0123456789;D;2020-09-10;23,39;R;13;R
0123456789;D;2020-09-09;20,75;R;14;R
0123456789;D;2020-09-08;26,69;R;17;R
0123456789;D;2020-09-07;24,53;R;20;R
0123456789;D;2020-09-06;19,79;R;16;R
0123456789;D;2020-09-05;22,20;R;16;R
0123456789;D;2020-09-04;20,53;R;18;R
0123456789;D;2020-09-03;20,00;R;20;R
0123456789;D;2020-09-02;20,91;R;20;R
0123456789;D;2020-09-01;16,65;R;19;R
0123456789;D;2020-08-31;20,40;M;17;R
0123456789;D;2020-08-30;20,40;M;16;R
0123456789;D;2020-08-29;19,96;R;16;R
0123456789;D;2020-08-28;20,48;R;17;R
0123456789;D;2020-08-27;18,04;R;14;R
0123456789;D;2020-08-26;18,47;R;14;R
