Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2020-04-27;50,68;R;8;R
0123456789;D;2020-04-26;46,20;R;9;R
0123456789;D;2020-04-25;50,49;R;8;R
0123456789;D;2020-04-24;68,40;R;5;R
0123456789;D;2020-04-23;68,25;R;2;R
0123456789;D;2020-04-22;73,92;R;-1;R
0123456789;D;2020-04-21;54,10;R;3;R
0123456789;D;2020-04-20;59,34;R;1;R
0123456789;D;2020-04-19;56,70;R;6;R
0123456789;D;2020-04-18;55,38;R;5;R
0123456789;D;2020-04-17;68,87;R;2;R
0123456789;D;2020-04-16;53,62;R;1;R
0123456789;D;2020-04-15;68,48;R;2;R
0123456789;D;2020-04-14;55,77;R;5;R
0123456789;D;2020-04-13;41,78;R;11;R
0123456789;D;2020-04-12;56,66;R;8;R
0123456789;D;2020-04-11;74,42;R;3;R
0123456789;D;2020-04-10;59,90;R;3;R
0123456789;D;2020-04-09;57,90;R;4;R
0123456789;D;2020-04-08;48,85;R;5;R
0123456789;D;2020-04-07;53,29;R;7;R
0123456789;D;2020-04-06;60,97;R;6;R
0123456789;D;2020-04-05;50,92;R;7;R
0123456789;D;2020-04-04;64,64;R;7;R
0123456789;D;2020-04-03;55,60;R;7;R
0123456789;D;2020-04-02;68,37;R;4;R
0123456789;D;2020-04-01;62,53;R;3;R
0123456789;D;2020-03-31;58,40;R;4;R
0123456789;D;2020-03-30;56,55;R;5;R
0123456789;D;2020-03-29;70,22;R;5;R
0123456789;D;2020-03-28;48,43;R;4;R
0123456789;D;2020-03-27;50,62;R;4;R
0123456789;D;2020-03-26;43,55;R;6;R
0123456789;D;2020-03-25;57,53;R;3;R
0123456789;D;2020-03-24;67,03;R;2;R
0123456789;D;2020-03-23;82,89;R;-1;R
0123456789;D;2020-03-22;68,12;R;-5;R
0123456789;D;2020-03-21;67,26;R;-5;R
0123456789;D;2020-03-20;49,63;R;7;R
0123456789;D;2020-03-19;57,95;R;4;R
0123456789;D;2020-03-18;63,02;R;0;R
0123456789;D;2020-03-17;73,23;R;2;R
0123456789;D;2020-03-16;72,87;R;-5;R
0123456789;D;2020-03-15;63,65;R;-5;R
0123456789;D;2020-03-14;48,68;R;3;R
0123456789;D;2020-03-13;55,89;R;5;R
0123456789;D;2020-03-12;65,94;R;-1;R
0123456789;D;2020-03-11;74,33;R;-3;R
0123456789;D;2020-03-10;70,88;R;1;R
0123456789;D;2020-03-09;41,01;R;4;R
0123456789;D;2020-03-08;54,94;R;2;R
0123456789;D;2020-03-07;90,50;R;-4;R
0123456789;D;2020-03-06;68,97;R;-1;R
0123456789;D;2020-03-05;56,71;R;0;R
0123456789;D;2020-03-04;55,40;R;2;R
0123456789;D;2020-03-03;54,91;R;2;R
0123456789;D;2020-03-02;75,81;R;-2;R
0123456789;D;2020-03-01;84,14;R;-9;R
0123456789;D;2020-02-29;106,27;R;-11;R
0123456789;D;2020-02-28;107,40;R;-9;R
0123456789;D;2020-02-27;64,06;R;-2;R
0123456789;D;2020-02-26;68,37;R;-1;R
