Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2018-08-20;24,50;R;22;R
0123456789;D;2018-08-19;30,89;R;22;R
0123456789;D;2018-08-18;24,83;R;21;R
0123456789;D;2018-08-17;28,74;R;20;R
0123456789;D;2018-08-16;25,95;R;21;R
0123456789;D;2018-08-15;32,45;R;24;R
0123456789;D;2018-08-14;36,03;R;26;R
0123456789;D;2018-08-13;26,58;R;25;R
0123456789;D;2018-08-12;41,22;R;24;R
0123456789;D;2018-08-11;30,73;R;23;R
0123456789;D;2018-08-10;33,56;R;21;R
0123456789;D;2018-08-09;28,36;R;23;R
0123456789;D;2018-08-08;20,86;R;24;R
0123456789;D;2018-08-07;22,42;R;24;R
0123456789;D;2018-08-06;1,02;M;26;R
0123456789;D;2018-08-05;1,02;M;26;R
0123456789;D;2018-08-04;1,02;M;23;R
0123456789;D;2018-08-03;1,02;M;24;R
0123456789;D;2018-08-02;1,02;M;25;R
0123456789;D;2018-08-01;1,02;M;25;R
0123456789;D;2018-07-31;1,02;M;25;R
0123456789;D;2018-07-30;1,02;M;23;R
0123456789;D;2018-07-29;18,03;R;22;R
0123456789;D;2018-07-28;9,40;R;22;R
0123456789;D;2018-07-27;18,34;R;24;R
0123456789;D;2018-07-26;23,37;R;24;R
0123456789;D;2018-07-25;20,02;R;24;R
0123456789;D;2018-07-24;27,07;R;26;R
0123456789;D;2018-07-23;20,51;R;25;R
0123456789;D;2018-07-22;25,96;R;22;R
0123456789;D;2018-07-21;24,67;R;26;R
0123456789;D;2018-07-20;21,99;R;25;R
0123456789;D;2018-07-19;22,47;R;22;R
0123456789;D;2018-07-18;19,41;R;20;R
0123456789;D;2018-07-17;24,10;R;24;R
0123456789;D;2018-07-16;31,12;R;27;R
0123456789;D;2018-07-15;4,82;M;26;R
0123456789;D;2018-07-14;4,82;M;24;R
0123456789;D;2018-07-13;4,82;M;24;R
0123456789;D;2018-07-12;4,82;M;23;R
0123456789;D;2018-07-11;4,82;M;21;R
0123456789;D;2018-07-10;4,82;M;25;R
0123456789;D;2018-07-09;4,82;M;26;R
0123456789;D;2018-07-08;20,07;R;24;R
0123456789;D;2018-07-07;22,88;R;22;R
0123456789;D;2018-07-06;15,10;R;21;R
0123456789;D;2018-07-05;38,47;R;29;R
0123456789;D;2018-07-04;34,57;R;28;R
0123456789;D;2018-07-03;33,94;R;28;R
0123456789;D;2018-07-02;33,88;R;29;R
0123456789;D;2018-07-01;22,50;R;29;R
0123456789;D;2018-06-30;22,09;R;26;R
0123456789;D;2018-06-29;28,87;R;25;R
0123456789;D;2018-06-28;25,82;R;20;R
0123456789;D;2018-06-27;18,55;R;21;R
0123456789;D;2018-06-26;19,37;R;19;R
0123456789;D;2018-06-25;29,79;R;17;R
0123456789;D;2018-06-24;12,12;R;17;R
0123456789;D;2018-06-23;17,99;R;18;R
0123456789;D;2018-06-22;23,53;R;20;R
0123456789;D;2018-06-21;14,64;R;17;R
0123456789;D;2018-06-20;23,98;R;20;R
0123456789;D;2018-06-19;23,52;R;19;R
