Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2021-05-09;43,22;R;11;R
0123456789;D;2021-05-08;31,07;R;12;R
0123456789;D;2021-05-07;37,47;R;11;R
0123456789;D;2021-05-06;36,07;R;10;R
0123456789;D;2021-05-05;40,64;R;11;R
0123456789;D;2021-05-04;35,15;R;11;R
0123456789;D;2021-05-03;40,07;R;8;R
0123456789;D;2021-05-02;46,11;R;10;R
0123456789;D;2021-05-01;47,27;R;6;R
0123456789;D;2021-04-30;40,29;R;8;R
0123456789;D;2021-04-29;54,23;R;14;R
0123456789;D;2021-04-28;42,57;R;12;R
