Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2021-06-25;45,12;R;22;R
0123456789;D;2021-06-24;23,93;R;22;R
0123456789;D;2021-06-23;20,79;R;17;R
0123456789;D;2021-06-22;24,96;R;16;R
0123456789;D;2021-06-21;22,60;R;24;R
0123456789;D;2021-06-20;23,78;R;23;R
0123456789;D;2021-06-19;17,06;R;22;R
0123456789;D;2021-06-18;28,41;R;20;R
0123456789;D;2021-06-17;18,75;R;19;R
0123456789;D;2021-06-16;40,75;R;16;R
0123456789;D;2021-06-15;24,36;R;18;R
0123456789;D;2021-06-14;16,71;R;19;R
0123456789;D;2021-06-13;24,04;R;23;R
0123456789;D;2021-06-12;16,83;R;21;R
0123456789;D;2021-06-11;38,15;R;20;R
0123456789;D;2021-06-10;24,09;R;19;R
0123456789;D;2021-06-09;24,72;R;25;R
0123456789;D;2021-06-08;32,94;R;26;R
0123456789;D;2021-06-07;29,34;R;27;R
0123456789;D;2021-06-06;36,93;R;25;R
0123456789;D;2021-06-05;34,33;R;22;R
0123456789;D;2021-06-04;22,59;R;21;R
0123456789;D;2021-06-03;18,27;R;18;R
0123456789;D;2021-06-02;21,79;R;21;R
0123456789;D;2021-06-01;24,56;R;18;R
0123456789;D;2021-05-31;49,71;R;15;R
0123456789;D;2021-05-30;25,62;R;13;R
0123456789;D;2021-05-29;25,23;R;12;R
0123456789;D;2021-05-28;16,23;R;9;R
0123456789;D;2021-05-27;19,60;R;12;R
0123456789;D;2021-05-26;28,43;R;24;R
0123456789;D;2021-05-25;26,62;R;21;R
0123456789;D;2021-05-24;23,73;R;15;R
0123456789;D;2021-05-23;67,11;R;18;R
0123456789;D;2021-05-22;19,63;R;23;R
0123456789;D;2021-05-21;24,97;R;25;R
0123456789;D;2021-05-20;26,94;R;24;R
0123456789;D;2021-05-19;33,99;R;21;R
0123456789;D;2021-05-18;26,20;R;20;R
0123456789;D;2021-05-17;28,37;R;18;R
0123456789;D;2021-05-16;17,85;R;16;R
0123456789;D;2021-05-15;49,36;R;17;R
0123456789;D;2021-05-14;34,64;R;18;R
0123456789;D;2021-05-13;33,61;R;14;R
0123456789;D;2021-05-12;28,02;R;12;R
0123456789;D;2021-05-11;35,24;R;9;R
0123456789;D;2021-05-10;31,95;R;12;R
0123456789;D;2021-05-09;43,22;R;11;R
0123456789;D;2021-05-08;31,07;R;12;R
0123456789;D;2021-05-07;37,47;R;11;R
0123456789;D;2021-05-06;36,07;R;10;R
0123456789;D;2021-05-05;40,64;R;11;R
0123456789;D;2021-05-04;35,15;R;11;R
0123456789;D;2021-05-03;40,07;R;8;R
0123456789;D;2021-05-02;46,11;R;10;R
0123456789;D;2021-05-01;47,27;R;6;R
0123456789;D;2021-04-30;40,29;R;8;R
0123456789;D;2021-04-29;54,23;R;14;R
0123456789;D;2021-04-28;42,57;R;12;R
