Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2021-02-23;75,56;R;1;R
0123456789;D;2021-02-22;88,73;R;-4;R
0123456789;D;2021-02-21;76,00;R;-7;R
0123456789;D;2021-02-20;77,15;R;-7;R
0123456789;D;2021-02-19;98,84;R;-8;R
0123456789;D;2021-02-18;87,15;R;-10;R
0123456789;D;2021-02-17;85,64;R;-13;R
0123456789;D;2021-02-16;95,74;R;-7;R
0123456789;D;2021-02-15;107,41;R;-8;R
0123456789;D;2021-02-14;134,39;R;-10;R
0123456789;D;2021-02-13;120,13;R;-16;R
0123456789;D;2021-02-12;108,47;R;-17;R
0123456789;D;2021-02-11;98,74;R;-12;R
0123456789;D;2021-02-10;86,23;R;-10;R
0123456789;D;2021-02-09;93,17;R;-10;R
0123456789;D;2021-02-08;110,08;R;-11;R
0123456789;D;2021-02-07;90,20;R;-7;R
0123456789;D;2021-02-06;86,72;R;-6;R
0123456789;D;2021-02-05;81,86;R;-3;R
0123456789;D;2021-02-04;57,59;R;-3;R
0123456789;D;2021-02-03;86,43;R;-1;R
0123456789;D;2021-02-02;123,05;R;-4;R
0123456789;D;2021-02-01;98,97;R;-12;R
0123456789;D;2021-01-31;105,92;R;-17;R
0123456789;D;2021-01-30;108,21;R;-14;R
0123456789;D;2021-01-29;102,01;R;-15;R
0123456789;D;2021-01-28;88,62;R;-9;R
0123456789;D;2021-01-27;81,90;R;-4;R
0123456789;D;2021-01-26;93,53;R;-6;R
0123456789;D;2021-01-25;106,01;R;-11;R
0123456789;D;2021-01-24;101,00;R;-14;R
0123456789;D;2021-01-23;128,50;R;-13;R
0123456789;D;2021-01-22;90,12;R;-6;R
0123456789;D;2021-01-21;108,17;R;-8;R
0123456789;D;2021-01-20;90,74;R;-10;R
0123456789;D;2021-01-19;99,25;R;-10;R
0123456789;D;2021-01-18;84,66;R;-7;R
0123456789;D;2021-01-17;63,83;R;-1;R
0123456789;D;2021-01-16;68,15;R;0;R
0123456789;D;2021-01-15;75,33;R;0;R
0123456789;D;2021-01-14;49,24;R;1;R
0123456789;D;2021-01-13;77,77;R;0;R
0123456789;D;2021-01-12;90,62;R;-1;R
0123456789;D;2021-01-11;85,76;R;-3;R
0123456789;D;2021-01-10;89,56;R;-8;R
0123456789;D;2021-01-09;81,32;R;-6;R
0123456789;D;2021-01-08;79,38;R;-8;R
0123456789;D;2021-01-07;76,82;R;-6;R
0123456789;D;2021-01-06;62,74;R;-4;R
0123456789;D;2021-01-05;78,20;R;-3;R
0123456789;D;2021-01-04;69,34;R;-2;R
0123456789;D;2021-01-03;114,48;R;-2;R
0123456789;D;2021-01-02;68,70;R;-3;R
0123456789;D;2021-01-01;81,91;R;-3;R
0123456789;D;2020-12-31;63,42;R;-1;R
0123456789;D;2020-12-30;98,19;R;-4;R
0123456789;D;2020-12-29;111,93;R;-7;R
0123456789;D;2020-12-28;75,39;R;1;R
0123456789;D;2020-12-27;87,98;R;-6;R
0123456789;D;2020-12-26;88,95;R;-5;R
0123456789;D;2020-12-25;40,89;R;7;R
0123456789;D;2020-12-24;63,41;R;6;R
