Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2019-12-20;123,63;R;-14;R
0123456789;D;2019-12-19;137,46;R;-17;R
0123456789;D;2019-12-18;91,67;R;-7;R
0123456789;D;2019-12-17;100,93;R;-3;R
0123456789;D;2019-12-16;92,96;R;-8;R
0123456789;D;2019-12-15;77,42;R;-4;R
0123456789;D;2019-12-14;58,77;R;2;R
0123456789;D;2019-12-13;70,76;R;1;R
0123456789;D;2019-12-12;88,69;R;-7;R
0123456789;D;2019-12-11;93,59;R;-7;R
0123456789;D;2019-12-10;60,04;R;3;R
0123456789;D;2019-12-09;62,08;R;3;R
0123456789;D;2019-12-08;92,16;R;-4;R
0123456789;D;2019-12-07;92,98;R;-8;R
0123456789;D;2019-12-06;89,58;R;-5;R
0123456789;D;2019-12-05;77,83;R;-2;R
0123456789;D;2019-12-04;79,33;R;-2;R
0123456789;D;2019-12-03;86,62;R;-3;R
0123456789;D;2019-12-02;85,24;R;-5;R
0123456789;D;2019-12-01;101,94;R;-9;R
0123456789;D;2019-11-30;81,24;R;-8;R
0123456789;D;2019-11-29;70,65;R;-3;R
0123456789;D;2019-11-28;68,79;R;0;R
0123456789;D;2019-11-27;60,82;R;1;R
0123456789;D;2019-11-26;53,56;R;5;R
0123456789;D;2019-11-25;60,35;R;3;R
0123456789;D;2019-11-24;68,24;R;0;R
0123456789;D;2019-11-23;82,50;R;-1;R
0123456789;D;2019-11-22;63,76;R;2;R
0123456789;D;2019-11-21;67,10;R;-1;R
0123456789;D;2019-11-20;64,15;R;0;R
0123456789;D;2019-11-19;80,13;R;-1;R
0123456789;D;2019-11-18;85,23;R;-5;R
0123456789;D;2019-11-17;85,11;R;-8;R
0123456789;D;2019-11-16;94,77;R;-9;R
0123456789;D;2019-11-15;70,93;R;-1;R
0123456789;D;2019-11-14;89,26;R;-4;R
0123456789;D;2019-11-13;89,84;R;-10;R
0123456789;D;2019-11-12;101,51;R;-7;R
0123456789;D;2019-11-11;72,04;R;-5;R
0123456789;D;2019-11-10;70,26;R;3;R
0123456789;D;2019-11-09;67,40;R;-1;R
0123456789;D;2019-11-08;77,48;R;-2;R
0123456789;D;2019-11-07;61,64;R;0;R
0123456789;D;2019-11-06;44,03;R;3;R
0123456789;D;2019-11-05;51,71;R;8;R
0123456789;D;2019-11-04;46,68;R;5;R
0123456789;D;2019-11-03;43,93;R;5;R
0123456789;D;2019-11-02;50,28;R;4;R
0123456789;D;2019-11-01;43,30;R;5;R
0123456789;D;2019-10-31;31,64;R;11;R
0123456789;D;2019-10-30;23,17;R;13;R
0123456789;D;2019-10-29;34,24;R;11;R
0123456789;D;2019-10-28;24,63;R;10;R
0123456789;D;2019-10-27;50,65;R;8;R
0123456789;D;2019-10-26;27,32;R;7;R
0123456789;D;2019-10-25;35,48;R;7;R
