Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2019-10-24;26,67;R;10;R
0123456789;D;2019-10-23;25,29;R;12;R
0123456789;D;2019-10-22;32,00;R;12;R
0123456789;D;2019-10-21;26,34;R;9;R
0123456789;D;2019-10-20;42,81;R;6;R
0123456789;D;2019-10-19;31,00;R;6;R
0123456789;D;2019-10-18;40,17;R;8;R
0123456789;D;2019-10-17;26,92;R;8;R
0123456789;D;2019-10-16;25,26;R;12;R
0123456789;D;2019-10-15;26,83;R;9;R
0123456789;D;2019-10-14;24,38;R;10;R
0123456789;D;2019-10-13;24,37;R;11;R
0123456789;D;2019-10-12;24,20;R;13;R
0123456789;D;2019-10-11;27,91;R;12;R
0123456789;D;2019-10-10;16,40;R;12;R
0123456789;D;2019-10-09;20,79;R;10;R
0123456789;D;2019-10-08;22,22;R;12;R
0123456789;D;2019-10-07;21,77;R;14;R
0123456789;D;2019-10-06;26,03;R;12;R
0123456789;D;2019-10-05;16,57;R;7;R
0123456789;D;2019-10-04;30,90;R;7;R
0123456789;D;2019-10-03;25,05;R;7;R
0123456789;D;2019-10-02;20,99;R;11;R
0123456789;D;2019-10-01;20,20;R;13;R
0123456789;D;2019-09-30;12,33;R;10;R
0123456789;D;2019-09-29;21,92;R;10;R
0123456789;D;2019-09-28;16,25;R;16;R
0123456789;D;2019-09-27;23,01;R;15;R
0123456789;D;2019-09-26;14,31;R;16;R
0123456789;D;2019-09-25;15,46;R;16;R
0123456789;D;2019-09-24;20,55;R;15;R
0123456789;D;2019-09-23;14,21;R;21;R
0123456789;D;2019-09-22;19,21;R;22;R
0123456789;D;2019-09-21;24,63;R;20;R
0123456789;D;2019-09-20;22,40;R;19;R
0123456789;D;2019-09-19;18,46;R;15;R
0123456789;D;2019-09-18;13,38;R;14;R
0123456789;D;2019-09-17;22,89;R;14;R
0123456789;D;2019-09-16;17,81;R;16;R
0123456789;D;2019-09-15;14,82;R;15;R
0123456789;D;2019-09-14;10,30;R;18;R
0123456789;D;2019-09-13;19,29;R;15;R
0123456789;D;2019-09-12;14,79;R;15;R
0123456789;D;2019-09-11;19,67;R;19;R
0123456789;D;2019-09-10;18,72;R;15;R
0123456789;D;2019-09-09;14,99;R;13;R
0123456789;D;2019-09-08;19,37;R;14;R
0123456789;D;2019-09-07;17,89;R;15;R
0123456789;D;2019-09-06;19,54;R;17;R
0123456789;D;2019-09-05;15,87;R;16;R
0123456789;D;2019-09-04;18,72;R;19;R
0123456789;D;2019-09-03;15,93;R;16;R
0123456789;D;2019-09-02;16,81;R;18;R
0123456789;D;2019-09-01;13,55;R;18;R
0123456789;D;2019-08-31;15,04;R;17;R
0123456789;D;2019-08-30;17,33;R;20;R
0123456789;D;2019-08-29;13,59;R;21;R
0123456789;D;2019-08-28;18,82;R;20;R
0123456789;D;2019-08-27;19,92;R;21;R
0123456789;D;2019-08-26;16,26;R;20;R
0123456789;D;2019-08-25;18,96;R;19;R
0123456789;D;2019-08-24;13,27;R;18;R
