Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2020-02-25;49,48;R;2;R
0123456789;D;2020-02-24;40,39;R;5;R
0123456789;D;2020-02-23;55,63;R;2;R
0123456789;D;2020-02-22;70,74;R;-1;R
0123456789;D;2020-02-21;95,75;R;-8;R
0123456789;D;2020-02-20;89,73;R;-14;R
0123456789;D;2020-02-19;72,04;R;-5;R
0123456789;D;2020-02-18;116,26;R;-5;R
0123456789;D;2020-02-17;59,39;R;-8;R
0123456789;D;2020-02-16;73,65;R;0;R
0123456789;D;2020-02-15;102,79;R;-11;R
0123456789;D;2020-02-14;120,48;R;-19;R
0123456789;D;2020-02-13;70,55;R;-6;R
0123456789;D;2020-02-12;69,13;R;-1;R
0123456789;D;2020-02-11;98,03;R;-5;R
0123456789;D;2020-02-10;83,66;R;-7;R
0123456789;D;2020-02-09;116,71;R;-14;R
0123456789;D;2020-02-08;114,85;R;-16;R
0123456789;D;2020-02-07;98,71;R;-7;R
0123456789;D;2020-02-06;93,60;R;-7;R
0123456789;D;2020-02-05;67,59;R;-7;R
0123456789;D;2020-02-04;67,07;R;0;R
0123456789;D;2020-02-03;75,87;R;0;R
0123456789;D;2020-02-02;74,49;R;-5;R
0123456789;D;2020-02-01;72,70;R;-5;R
0123456789;D;2020-01-31;104,23;R;-8;R
0123456789;D;2020-01-30;84,74;R;-10;R
0123456789;D;2020-01-29;81,36;R;-9;R
0123456789;D;2020-01-28;76,72;R;-2;R
0123456789;D;2020-01-27;79,92;R;1;R
0123456789;D;2020-01-26;77,06;R;1;R
0123456789;D;2020-01-25;67,78;R;-2;R
0123456789;D;2020-01-24;68,96;R;-2;R
0123456789;D;2020-01-23;67,06;R;-2;R
0123456789;D;2020-01-22;88,52;R;-2;R
0123456789;D;2020-01-21;118,73;R;-12;R
0123456789;D;2020-01-20;106,33;R;-14;R
0123456789;D;2020-01-19;116,25;R;-11;R
0123456789;D;2020-01-18;126,03;R;-16;R
0123456789;D;2020-01-17;118,21;R;-17;R
0123456789;D;2020-01-16;76,97;R;-4;R
0123456789;D;2020-01-15;88,00;R;-2;R
0123456789;D;2020-01-14;102,17;R;-7;R
0123456789;D;2020-01-13;98,50;R;-9;R
0123456789;D;2020-01-12;90,72;R;-7;R
0123456789;D;2020-01-11;60,48;R;3;R
0123456789;D;2020-01-10;105,58;R;-3;R
0123456789;D;2020-01-09;105,24;R;-13;R
0123456789;D;2020-01-08;92,22;R;-4;R
0123456789;D;2020-01-07;89,79;R;-4;R
0123456789;D;2020-01-06;96,02;R;-9;R
0123456789;D;2020-01-05;87,52;R;-6;R
0123456789;D;2020-01-04;61,46;R;0;R
0123456789;D;2020-01-03;62,16;R;4;R
0123456789;D;2020-01-02;73,49;R;1;R
0123456789;D;2020-01-01;65,17;R;0;R
0123456789;D;2019-12-31;77,45;R;0;R
0123456789;D;2019-12-30;78,80;R;-2;R
0123456789;D;2019-12-29;83,04;R;-1;R
0123456789;D;2019-12-28;63,46;R;2;R
0123456789;D;2019-12-27;83,30;R;-1;R
0123456789;D;2019-12-26;89,86;R;-6;R
0123456789;D;2019-12-25;78,76;R;-5;R
0123456789;D;2019-12-24;69,16;R;-3;R
0123456789;D;2019-12-23;64,17;R;3;R
0123456789;D;2019-12-22;82,57;R;-3;R
0123456789;D;2019-12-21;118,00;R;-12;R
