Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2020-12-23;88,30;R;-5;R
0123456789;D;2020-12-22;112,89;R;0;R
0123456789;D;2020-12-21;66,47;R;1;R
0123456789;D;2020-12-20;65,27;R;-2;R
0123456789;D;2020-12-19;122,20;R;-7;R
0123456789;D;2020-12-18;108,24;R;-10;R
0123456789;D;2020-12-17;117,16;R;-11;R
0123456789;D;2020-12-16;152,03;R;-15;R
0123456789;D;2020-12-15;93,75;R;-11;R
0123456789;D;2020-12-14;77,35;R;-3;R
0123456789;D;2020-12-13;71,26;R;1;R
0123456789;D;2020-12-12;58,95;R;1;R
0123456789;D;2020-12-11;81,05;R;2;R
0123456789;D;2020-12-10;60,56;R;0;R
0123456789;D;2020-12-09;92,52;R;-2;R
0123456789;D;2020-12-08;89,39;R;-5;R
0123456789;D;2020-12-07;82,78;R;-4;R
0123456789;D;2020-12-06;99,87;R;-3;R
0123456789;D;2020-12-05;77,61;R;1;R
0123456789;D;2020-12-04;83,34;R;3;R
0123456789;D;2020-12-03;65,87;R;3;R
0123456789;D;2020-12-02;62,18;R;1;R
0123456789;D;2020-12-01;39,21;R;7;R
0123456789;D;2020-11-30;63,86;R;5;R
0123456789;D;2020-11-29;56,01;R;5;R
0123456789;D;2020-11-28;58,52;R;4;R
0123456789;D;2020-11-27;61,26;R;4;R
0123456789;D;2020-11-26;95,63;R;1;R
0123456789;D;2020-11-25;83,07;R;-3;R
0123456789;D;2020-11-24;68,57;R;-3;R
0123456789;D;2020-11-23;66,31;R;2;R
0123456789;D;2020-11-22;81,66;R;-2;R
0123456789;D;2020-11-21;41,53;R;4;R
0123456789;D;2020-11-20;53,19;R;8;R
0123456789;D;2020-11-19;80,81;R;0;R
0123456789;D;2020-11-18;118,39;R;-5;R
0123456789;D;2020-11-17;71,10;R;0;R
0123456789;D;2020-11-16;75,36;R;6;R
0123456789;D;2020-11-15;95,10;R;3;R
0123456789;D;2020-11-14;58,00;R;2;R
0123456789;D;2020-11-13;43,79;R;3;R
0123456789;D;2020-11-12;27,48;R;5;R
0123456789;D;2020-11-11;19,14;R;16;R
0123456789;D;2020-11-10;30,11;R;15;R
0123456789;D;2020-11-09;20,17;R;14;R
0123456789;D;2020-11-08;29,42;R;14;R
0123456789;D;2020-11-07;65,82;R;15;R
0123456789;D;2020-11-06;29,07;R;14;R
0123456789;D;2020-11-05;42,03;R;10;R
0123456789;D;2020-11-04;56,41;R;3;R
0123456789;D;2020-11-03;53,56;R;0;R
0123456789;D;2020-11-02;68,75;R;0;R
0123456789;D;2020-11-01;56,11;R;5;R
0123456789;D;2020-10-31;51,31;R;1;R
0123456789;D;2020-10-30;55,65;R;-1;R
0123456789;D;2020-10-29;46,32;R;5;R
0123456789;D;2020-10-28;62,84;R;4;R
0123456789;D;2020-10-27;53,43;R;2;R
