Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2020-06-25;22,05;R;21.0;R
0123456789;D;2020-06-24;18,33;R;21.0;R
0123456789;D;2020-06-23;28,74;R;26.0;R
0123456789;D;2020-06-22;26,23;R;27.0;R
0123456789;D;2020-06-21;28,26;R;27.0;R
0123456789;D;2020-06-20;32,60;R;27.0;R
0123456789;D;2020-06-19;26,70;R;26.0;R
0123456789;D;2020-06-18;26,97;R;26.0;R
0123456789;D;2020-06-17;30,03;R;24.0;R
0123456789;D;2020-06-16;18,81;R;21.0;R
0123456789;D;2020-06-15;17,26;R;18.0;R
0123456789;D;2020-06-14;24,28;R;15.0;R
0123456789;D;2020-06-13;18,09;R;12.0;R
0123456789;D;2020-06-12;23,02;R;17.0;R
0123456789;D;2020-06-11;19,99;R;23.0;R
0123456789;D;2020-06-10;25,41;R;22.0;R
0123456789;D;2020-06-09;23,31;R;18.0;R
0123456789;D;2020-06-08;26,75;R;18.0;R
0123456789;D;2020-06-07;21,95;R;17.0;R
0123456789;D;2020-06-06;16,40;R;20.0;R
0123456789;D;2020-06-05;21,80;R;23.0;R
0123456789;D;2020-06-04;22,19;R;19.0;R
0123456789;D;2020-06-03;22,76;R;;
0123456789;D;2020-06-02;33,49;R;13.0;R
0123456789;D;2020-06-01;22,45;R;9.0;R
0123456789;D;2020-05-31;31,00;R;9.0;R
0123456789;D;2020-05-30;20,97;R;17.0;R
0123456789;D;2020-05-29;21,75;R;24.0;R
0123456789;D;2020-05-28;31,31;R;26.0;R
0123456789;D;2020-05-27;30,01;R;28.0;R
0123456789;D;2020-05-26;28,61;R;25.0;R
0123456789;D;2020-05-25;27,63;R;20.0;R
0123456789;D;2020-05-24;18,50;R;19.0;R
0123456789;D;2020-05-23;20,57;R;17.0;R
0123456789;D;2020-05-22;22,26;R;21.0;R
0123456789;D;2020-05-21;30,37;R;19.0;R
0123456789;D;2020-05-20;18,78;R;17.0;R
0123456789;D;2020-05-19;21,37;R;14.0;R
0123456789;D;2020-05-18;28,96;R;14.0;R
0123456789;D;2020-05-17;33,27;R;15.0;R
0123456789;D;2020-05-16;37,98;R;14.0;R
0123456789;D;2020-05-15;33,26;R;12.0;R
0123456789;D;2020-05-14;32,38;R;12.0;R
0123456789;D;2020-05-13;45,49;R;8.0;R
0123456789;D;2020-05-12;41,82;R;5.0;R
0123456789;D;2020-05-11;52,14;R;6.0;R
0123456789;D;2020-05-10;41,75;R;6.0;R
0123456789;D;2020-05-09;49,71;R;3.0;R
0123456789;D;2020-05-08;43,10;R;3.0;R
0123456789;D;2020-05-07;41,10;R;9.0;R
0123456789;D;2020-05-06;45,78;R;10.0;R
0123456789;D;2020-05-05;46,24;R;7.0;R
0123456789;D;2020-05-04;33,85;R;9.0;R
0123456789;D;2020-05-03;34,95;R;14.0;R
0123456789;D;2020-05-02;50,13;R;13.0;R
0123456789;D;2020-05-01;35,24;R;12.0;R
0123456789;D;2020-04-30;34,57;R;10.0;R
0123456789;D;2020-04-29;54,06;R;12.0;R
0123456789;D;2020-04-28;46,57;R;8.0;R
