Contrat;Tarif;Date de début;Date de fin;Jour;Date et heure de la dernière relève;kWh;Montant ($);Code de relève;Moyenne $/j;Moyenne kwh/j;Nombre de kWh projeté;Montant projeté ($);Température moyenne (°C)
0123456789;D;2018-06-19;2018-08-20;28;2018-07-16 23:59:00;546;50,18;R;1,79;19,5;1553.0;134,96;23
0123456789;D;2018-04-19;2018-06-18;61;;1543;133,35;R;2,19;25,3;;;15
0123456789;D;2018-02-17;2018-04-18;61;;4281;395,79;R;6,49;70,2;;;0
0123456789;D;2017-12-16;2018-02-16;63;;6918;664,83;R;10,55;109,8;;;-10
0123456789;D;2017-10-18;2017-12-15;59;;3854;353,43;R;5,99;65,3;;;3
0123456789;D;2017-08-18;2017-10-17;61;;1684;141,19;R;2,31;27,6;;;17
0123456789;D;2017-06-21;2017-08-17;58;;1698;140,72;R;2,43;29,3;;;20
0123456789;D;2017-04-22;2017-06-20;60;;1858;152,37;R;2,54;31,0;;;15
0123456789;D;2017-02-21;2017-04-21;60;;4437;409,09;R;6,82;74,0;;;0
0123456789;D;2016-12-20;2017-02-20;63;;6245;588,14;R;9,34;99,1;;;-5
0123456789;D;2016-10-20;2016-12-19;61;;4178;382,97;R;6,28;68,5;;;2
0123456789;D;2016-08-20;2016-10-19;61;;1464;124,61;R;2,04;24,0;;;17
0123456789;D;2016-06-22;2016-08-19;59;;1754;142,72;R;2,42;29,7;;;22
