Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2020-07-05 23:00:00;0,38;R;18;R
0123456789;2020-07-05 22:00:00;0,34;R;19;R
0123456789;2020-07-05 21:00:00;1,42;R;20;R
0123456789;2020-07-05 20:00:00;1,77;R;20;R
0123456789;2020-07-05 19:00:00;1,32;R;22;R
0123456789;2020-07-05 18:00:00;0,54;R;24;R
0123456789;2020-07-05 17:00:00;0,81;R;26;R
0123456789;2020-07-05 16:00:00;0,96;R;26;R
0123456789;2020-07-05 15:00:00;0,85;R;26;R
0123456789;2020-07-05 14:00:00;0,98;R;27;R
0123456789;2020-07-05 13:00:00;0,41;R;28;R
0123456789;2020-07-05 12:00:00;0,38;R;28;R
0123456789;2020-07-05 11:00:00;0,63;R;27;R
0123456789;2020-07-05 10:00:00;1,17;R;27;R
0123456789;2020-07-05 09:00:00;0,98;R;25;R
0123456789;2020-07-05 08:00:00;0,43;R;23;R
0123456789;2020-07-05 07:00:00;0,34;R;19;R
0123456789;2020-07-05 06:00:00;0,35;R;19;R
0123456789;2020-07-05 05:00:00;0,36;R;19;R
0123456789;2020-07-05 04:00:00;0,76;R;18;R
0123456789;2020-07-05 03:00:00;0,34;R;17;R
0123456789;2020-07-05 02:00:00;0,37;R;18;R
0123456789;2020-07-05 01:00:00;0,39;R;20;R
0123456789;2020-07-05 00:00:00;0,67;R;20;R
0123456789;2020-07-04 23:00:00;1,46;R;23;R
0123456789;2020-07-04 22:00:00;1,23;R;23;R
0123456789;2020-07-04 21:00:00;0,43;R;24;R
0123456789;2020-07-04 20:00:00;0,87;R;25;R
0123456789;2020-07-04 19:00:00;0,36;R;26;R
0123456789;2020-07-04 18:00:00;0,37;R;27;R
0123456789;2020-07-04 17:00:00;2,66;R;29;R
0123456789;2020-07-04 16:00:00;2,01;R;30;R
0123456789;2020-07-04 15:00:00;1,64;R;30;R
0123456789;2020-07-04 14:00:00;0,52;R;30;R
0123456789;2020-07-04 13:00:00;0,74;R;29;R
0123456789;2020-07-04 12:00:00;1,29;R;29;R
0123456789;2020-07-04 11:00:00;1,82;R;29;R
0123456789;2020-07-04 10:00:00;1,27;R;28;R
0123456789;2020-07-04 09:00:00;1,73;R;26;R
0123456789;2020-07-04 08:00:00;0,93;R;25;R
0123456789;2020-07-04 07:00:00;0,51;R;24;R
0123456789;2020-07-04 06:00:00;0,35;R;22;R
0123456789;2020-07-04 05:00:00;0,37;R;20;R
0123456789;2020-07-04 04:00:00;0,36;R;17;R
0123456789;2020-07-04 03:00:00;0,37;R;17;R
0123456789;2020-07-04 02:00:00;0,35;R;18;R
0123456789;2020-07-04 01:00:00;0,11;P;19;R
0123456789;2020-07-04 00:00:00;;N.D.;19;R
0123456789;2020-07-03 23:00:00;;N.D.;21;R
0123456789;2020-07-03 22:00:00;;N.D.;22;R
0123456789;2020-07-03 21:00:00;1,81;P;23;R
0123456789;2020-07-03 20:00:00;0,78;R;24;R
0123456789;2020-07-03 19:00:00;0,58;R;25;R
0123456789;2020-07-03 18:00:00;1,45;R;28;R
0123456789;2020-07-03 17:00:00;1,32;R;28;R
0123456789;2020-07-03 16:00:00;2,36;R;29;R
0123456789;2020-07-03 15:00:00;2,51;R;29;R
0123456789;2020-07-03 14:00:00;2,57;R;29;R
0123456789;2020-07-03 13:00:00;1,62;R;29;R
0123456789;2020-07-03 12:00:00;2,33;R;29;R
0123456789;2020-07-03 11:00:00;2,20;R;28;R
0123456789;2020-07-03 10:00:00;0,40;R;26;R
0123456789;2020-07-03 09:00:00;1,63;R;25;R
0123456789;2020-07-03 08:00:00;1,15;R;23;R
0123456789;2020-07-03 07:00:00;0,35;R;21;R
0123456789;2020-07-03 06:00:00;0,70;R;20;R
0123456789;2020-07-03 05:00:00;0,38;R;19;R
