Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2020-08-25 23:00:00;0,71;R;13;R
0123456789;2020-08-25 22:00:00;1,54;R;14;R
0123456789;2020-08-25 21:00:00;1,77;R;15;R
0123456789;2020-08-25 20:00:00;1,45;R;16;R
0123456789;2020-08-25 19:00:00;0,48;R;17;R
0123456789;2020-08-25 18:00:00;1,41;R;18;R
0123456789;2020-08-25 17:00:00;0,75;R;19;R
0123456789;2020-08-25 16:00:00;0,42;R;20;R
0123456789;2020-08-25 15:00:00;1,75;R;22;R
0123456789;2020-08-25 14:00:00;3,12;R;23;R
0123456789;2020-08-25 13:00:00;1,78;R;23;R
0123456789;2020-08-25 12:00:00;6,06;R;24;R
0123456789;2020-08-25 11:00:00;2,54;R;25;R
0123456789;2020-08-25 10:00:00;0,46;R;24;R
0123456789;2020-08-25 09:00:00;0,12;P;24;R
0123456789;2020-08-25 08:00:00;;N.D.;24;R
0123456789;2020-08-25 07:00:00;;N.D.;23;R
0123456789;2020-08-25 06:00:00;;N.D.;22;R
0123456789;2020-08-25 05:00:00;;N.D.;22;R
0123456789;2020-08-25 04:00:00;;N.D.;22;R
0123456789;2020-08-25 03:00:00;;N.D.;22;R
0123456789;2020-08-25 02:00:00;;N.D.;23;R
0123456789;2020-08-25 01:00:00;0,27;P;23;R
0123456789;2020-08-25 00:00:00;0,74;R;23;R
0123456789;2020-08-19 23:00:00;;N.D.;14;R
0123456789;2020-08-19 22:00:00;;N.D.;15;R
0123456789;2020-08-19 21:00:00;0,28;P;16;R
0123456789;2020-08-19 20:00:00;0,32;R;17;R
0123456789;2020-08-19 19:00:00;0,41;R;18;R
0123456789;2020-08-19 18:00:00;0,34;R;19;R
0123456789;2020-08-19 17:00:00;0,38;R;20;R
0123456789;2020-08-19 16:00:00;0,35;R;20;R
0123456789;2020-08-19 15:00:00;0,37;R;21;R
0123456789;2020-08-19 14:00:00;0,36;R;21;R
0123456789;2020-08-19 13:00:00;0,83;R;21;R
