Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2018-10-19 23:00:00;0,51;R;13;R
0123456789;2018-10-19 22:00:00;0,80;R;13;R
0123456789;2018-10-19 21:00:00;0,71;R;13;R
0123456789;2018-10-19 20:00:00;0,76;R;13;R
0123456789;2018-10-19 19:00:00;2,69;R;14;R
0123456789;2018-10-19 18:00:00;2,23;R;14;R
0123456789;2018-10-19 17:00:00;1,40;R;14;R
0123456789;2018-10-19 16:00:00;0,44;R;14;R
0123456789;2018-10-19 15:00:00;0,52;R;15;R
0123456789;2018-10-19 14:00:00;1,70;R;16;R
0123456789;2018-10-19 13:00:00;4,02;R;15;R
0123456789;2018-10-19 12:00:00;1,83;R;14;R
0123456789;2018-10-19 11:00:00;1,36;R;14;R
0123456789;2018-10-19 10:00:00;1,81;R;13;R
0123456789;2018-10-19 09:00:00;4,39;R;11;R
0123456789;2018-10-19 08:00:00;2,95;R;9;R
0123456789;2018-10-19 07:00:00;1,67;R;8;R
0123456789;2018-10-19 06:00:00;1,89;R;6;R
0123456789;2018-10-19 05:00:00;1,63;R;6;R
0123456789;2018-10-19 04:00:00;2,02;R;6;R
0123456789;2018-10-19 03:00:00;1,95;R;5;R
0123456789;2018-10-19 02:00:00;1,81;R;6;R
0123456789;2018-10-19 01:00:00;1,19;R;5;R
0123456789;2018-10-19 00:00:00;3,29;R;5;R
0123456789;2018-10-18 23:00:00;3,49;R;5;R
0123456789;2018-10-18 22:00:00;1,97;R;4;R
0123456789;2018-10-18 21:00:00;2,28;R;4;R
0123456789;2018-10-18 20:00:00;2,22;R;3;R
0123456789;2018-10-18 19:00:00;2,85;R;3;R
0123456789;2018-10-18 18:00:00;1,86;R;3;R
0123456789;2018-10-18 17:00:00;1,40;R;3;R
0123456789;2018-10-18 16:00:00;1,31;R;3;R
0123456789;2018-10-18 15:00:00;1,32;R;4;R
0123456789;2018-10-18 14:00:00;1,32;R;4;R
0123456789;2018-10-18 13:00:00;1,32;R;5;R
0123456789;2018-10-18 12:00:00;2,19;R;4;R
0123456789;2018-10-18 11:00:00;2,52;R;4;R
0123456789;2018-10-18 10:00:00;3,74;R;3;R
0123456789;2018-10-18 09:00:00;1,47;R;2;R
0123456789;2018-10-18 08:00:00;2,57;R;2;R
0123456789;2018-10-18 07:00:00;2,51;R;1;R
0123456789;2018-10-18 06:00:00;2,02;R;0;R
0123456789;2018-10-18 05:00:00;1,75;R;0;R
0123456789;2018-10-18 04:00:00;2,00;R;0;R
0123456789;2018-10-18 03:00:00;1,66;R;0;R
0123456789;2018-10-18 02:00:00;1,56;R;0;R
0123456789;2018-10-18 01:00:00;1,49;R;0;R
