Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2018-08-20 23:00:00;0,76;R;21;R
0123456789;2018-08-20 22:00:00;1,05;R;22;R
0123456789;2018-08-20 21:00:00;0,81;R;23;R
0123456789;2018-08-20 20:00:00;0,95;R;23;R
0123456789;2018-08-20 19:00:00;0,83;R;24;R
0123456789;2018-08-20 18:00:00;0,69;R;25;R
0123456789;2018-08-20 17:00:00;0,83;R;26;R
0123456789;2018-08-20 16:00:00;1,28;R;27;R
0123456789;2018-08-20 15:00:00;1,10;R;27;R
0123456789;2018-08-20 14:00:00;1,54;R;28;R
0123456789;2018-08-20 13:00:00;1,41;R;27;R
0123456789;2018-08-20 12:00:00;1,69;R;27;R
0123456789;2018-08-20 11:00:00;1,58;R;26;R
0123456789;2018-08-20 10:00:00;0,68;R;26;R
0123456789;2018-08-20 09:00:00;1,93;R;24;R
0123456789;2018-08-20 08:00:00;1,28;R;22;R
0123456789;2018-08-20 07:00:00;0,79;R;20;R
0123456789;2018-08-20 06:00:00;0,65;R;18;R
0123456789;2018-08-20 05:00:00;0,70;R;16;R
0123456789;2018-08-20 04:00:00;1,07;R;16;R
0123456789;2018-08-20 03:00:00;0,66;R;16;R
0123456789;2018-08-20 02:00:00;0,70;R;17;R
0123456789;2018-08-20 01:00:00;0,67;R;18;R
0123456789;2018-08-20 00:00:00;0,84;R;18;R
0123456789;2018-08-19 23:00:00;0,90;R;20;R
0123456789;2018-08-19 22:00:00;0,86;R;20;R
0123456789;2018-08-19 21:00:00;0,95;R;21;R
0123456789;2018-08-19 20:00:00;1,77;R;22;R
0123456789;2018-08-19 19:00:00;1,89;R;23;R
0123456789;2018-08-19 18:00:00;1,12;R;25;R
0123456789;2018-08-19 17:00:00;1,26;R;26;R
0123456789;2018-08-19 16:00:00;4,01;R;27;R
0123456789;2018-08-19 15:00:00;2,63;R;27;R
0123456789;2018-08-19 14:00:00;2,38;R;28;R
0123456789;2018-08-19 13:00:00;1,44;R;28;R
0123456789;2018-08-19 12:00:00;2,50;R;27;R
0123456789;2018-08-19 11:00:00;0,91;R;27;R
0123456789;2018-08-19 10:00:00;0,69;R;25;R
0123456789;2018-08-19 09:00:00;0,69;R;24;R
0123456789;2018-08-19 08:00:00;0,67;R;22;R
0123456789;2018-08-19 07:00:00;1,19;R;20;R
0123456789;2018-08-19 06:00:00;0,71;R;19;R
0123456789;2018-08-19 05:00:00;0,71;R;17;R
0123456789;2018-08-19 04:00:00;0,83;R;16;R
0123456789;2018-08-19 03:00:00;0,68;R;16;R
0123456789;2018-08-19 02:00:00;0,70;R;17;R
0123456789;2018-08-19 01:00:00;0,72;R;17;R
0123456789;2018-08-19 00:00:00;0,69;R;18;R
0123456789;2018-08-18 23:00:00;0,69;R;18;R
0123456789;2018-08-18 22:00:00;0,70;R;20;R
0123456789;2018-08-18 21:00:00;0,69;R;20;R
0123456789;2018-08-18 20:00:00;1,09;R;22;R
0123456789;2018-08-18 19:00:00;0,71;R;22;R
0123456789;2018-08-18 18:00:00;0,70;R;23;R
0123456789;2018-08-18 17:00:00;0,66;R;24;R
0123456789;2018-08-18 16:00:00;0,84;R;25;R
