Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2018-12-19 23:00:00;1,37;R;-2;R
0123456789;2018-12-19 22:00:00;1,36;R;-2;R
0123456789;2018-12-19 21:00:00;3,44;R;-3;R
0123456789;2018-12-19 20:00:00;3,88;R;-3;R
0123456789;2018-12-19 19:00:00;5,41;R;-3;R
0123456789;2018-12-19 18:00:00;2,66;R;-3;R
0123456789;2018-12-19 17:00:00;4,52;R;-3;R
0123456789;2018-12-19 16:00:00;3,46;R;-2;R
0123456789;2018-12-19 15:00:00;3,42;R;-3;R
0123456789;2018-12-19 14:00:00;2,95;R;-3;R
0123456789;2018-12-19 13:00:00;3,84;R;-3;R
0123456789;2018-12-19 12:00:00;4,13;R;-4;R
0123456789;2018-12-19 11:00:00;4,85;R;-5;R
0123456789;2018-12-19 10:00:00;6,16;R;-6;R
0123456789;2018-12-19 09:00:00;6,02;R;-6;R
0123456789;2018-12-19 08:00:00;7,13;R;-8;R
0123456789;2018-12-19 07:00:00;5,16;R;-10;R
0123456789;2018-12-19 06:00:00;3,93;R;-10;R
0123456789;2018-12-19 05:00:00;3,93;R;-10;R
0123456789;2018-12-19 04:00:00;3,79;R;-10;R
0123456789;2018-12-19 03:00:00;3,74;R;-10;R
0123456789;2018-12-19 02:00:00;3,74;R;-9;R
0123456789;2018-12-19 01:00:00;4,04;R;-9;R
0123456789;2018-12-19 00:00:00;3,01;R;-9;R
0123456789;2018-12-18 23:00:00;3,24;R;-9;R
0123456789;2018-12-18 22:00:00;2,53;R;-9;R
0123456789;2018-12-18 21:00:00;4,86;R;-8;R
0123456789;2018-12-18 20:00:00;5,25;R;-8;R
0123456789;2018-12-18 19:00:00;3,88;R;-7;R
0123456789;2018-12-18 18:00:00;3,33;R;-7;R
0123456789;2018-12-18 17:00:00;4,27;R;-7;R
0123456789;2018-12-18 16:00:00;3,74;R;-6;R
0123456789;2018-12-18 15:00:00;4,08;R;-6;R
0123456789;2018-12-18 14:00:00;5,55;R;-5;R
0123456789;2018-12-18 13:00:00;1,85;R;-5;R
0123456789;2018-12-18 12:00:00;1,96;R;-5;R
0123456789;2018-12-18 11:00:00;2,32;R;-5;R
0123456789;2018-12-18 10:00:00;3,42;R;-5;R
0123456789;2018-12-18 09:00:00;5,64;R;-7;R
0123456789;2018-12-18 08:00:00;4,71;R;-7;R
0123456789;2018-12-18 07:00:00;3,72;R;-8;R
0123456789;2018-12-18 06:00:00;3,60;R;-9;R
0123456789;2018-12-18 05:00:00;3,50;R;-8;R
0123456789;2018-12-18 04:00:00;3,53;R;-8;R
0123456789;2018-12-18 03:00:00;3,84;R;-8;R
0123456789;2018-12-18 02:00:00;2,69;R;-8;R
0123456789;2018-12-18 01:00:00;3,41;R;-7;R
0123456789;2018-12-18 00:00:00;2,67;R;-7;R
0123456789;2018-12-17 23:00:00;3,39;R;-7;R
0123456789;2018-12-17 22:00:00;2,57;R;-7;R
0123456789;2018-12-17 21:00:00;2,25;R;-7;R
0123456789;2018-12-17 20:00:00;3,99;R;-5;R
0123456789;2018-12-17 19:00:00;3,13;R;-3;R
0123456789;2018-12-17 18:00:00;3,14;R;-2;R
0123456789;2018-12-17 17:00:00;2,38;R;0;R
0123456789;2018-12-17 16:00:00;1,78;R;1;R
0123456789;2018-12-17 15:00:00;1,55;R;1;R
0123456789;2018-12-17 14:00:00;2,19;R;1;R
0123456789;2018-12-17 13:00:00;1,21;R;1;R
0123456789;2018-12-17 12:00:00;4,20;R;1;R
0123456789;2018-12-17 11:00:00;7,00;R;0;R
0123456789;2018-12-17 10:00:00;3,41;R;1;R
0123456789;2018-12-17 09:00:00;4,71;R;1;R
0123456789;2018-12-17 08:00:00;6,20;R;1;R
0123456789;2018-12-17 07:00:00;2,87;R;1;R
0123456789;2018-12-17 06:00:00;2,39;R;0;R
0123456789;2018-12-17 05:00:00;2,90;R;0;R
0123456789;2018-12-17 04:00:00;2,44;R;0;R
0123456789;2018-12-17 03:00:00;2,56;R;-1;R
0123456789;2018-12-17 02:00:00;2,58;R;0;R
0123456789;2018-12-17 01:00:00;2,24;R;-1;R
0123456789;2018-12-17 00:00:00;1,90;R;-1;R
0123456789;2018-12-16 23:00:00;2,49;R;-1;R
0123456789;2018-12-16 22:00:00;1,74;R;0;R
0123456789;2018-12-16 21:00:00;2,13;R;0;R
0123456789;2018-12-16 20:00:00;1,08;R;0;R
0123456789;2018-12-16 19:00:00;3,11;R;0;R
0123456789;2018-12-16 18:00:00;4,02;R;0;R
0123456789;2018-12-16 17:00:00;3,32;R;-1;R
0123456789;2018-12-16 16:00:00;2,79;R;0;R
0123456789;2018-12-16 15:00:00;2,14;R;0;R
