Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2019-06-21 07:00:00;0,36;R;18;R
0123456789;2019-06-21 06:00:00;0,33;R;18;R
0123456789;2019-06-21 05:00:00;0,82;R;17;R
0123456789;2019-06-21 04:00:00;0,36;R;16;R
0123456789;2019-06-21 03:00:00;0,35;R;15;R
0123456789;2019-06-21 02:00:00;0,37;R;15;R
0123456789;2019-06-21 01:00:00;0,34;R;16;R
0123456789;2019-06-21 00:00:00;0,37;R;16;R
0123456789;2019-06-20 23:00:00;0,38;R;16;R
0123456789;2019-06-20 22:00:00;0,74;R;17;R
0123456789;2019-06-20 21:00:00;0,39;R;17;R
0123456789;2019-06-20 20:00:00;0,50;R;17;R
0123456789;2019-06-20 19:00:00;0,43;R;16;R
0123456789;2019-06-20 18:00:00;0,38;R;16;R
0123456789;2019-06-20 17:00:00;0,69;R;17;R
0123456789;2019-06-20 16:00:00;0,36;R;17;R
0123456789;2019-06-20 15:00:00;0,34;R;17;R
0123456789;2019-06-20 14:00:00;0,38;R;17;R
0123456789;2019-06-20 13:00:00;0,36;R;17;R
0123456789;2019-06-20 12:00:00;1,51;R;17;R
0123456789;2019-06-20 11:00:00;1,66;R;17;R
0123456789;2019-06-20 10:00:00;0,85;R;17;R
0123456789;2019-06-20 09:00:00;2,37;R;18;R
0123456789;2019-06-20 08:00:00;1,46;R;19;R
0123456789;2019-06-20 07:00:00;0,51;R;18;R
0123456789;2019-06-20 06:00:00;0,36;R;18;R
0123456789;2019-06-20 05:00:00;0,38;R;17;R
0123456789;2019-06-20 04:00:00;0,69;R;17;R
0123456789;2019-06-20 03:00:00;0,48;R;17;R
0123456789;2019-06-20 02:00:00;0,35;R;17;R
0123456789;2019-06-20 01:00:00;0,38;R;17;R
0123456789;2019-06-20 00:00:00;0,38;R;18;R
0123456789;2019-06-19 23:00:00;0,76;R;19;R
0123456789;2019-06-19 22:00:00;0,40;R;19;R
0123456789;2019-06-19 21:00:00;1,97;R;21;R
0123456789;2019-06-19 20:00:00;0,78;R;20;R
0123456789;2019-06-19 19:00:00;1,16;R;21;R
0123456789;2019-06-19 18:00:00;0,98;R;25;R
0123456789;2019-06-19 17:00:00;0,42;R;25;R
0123456789;2019-06-19 16:00:00;0,41;R;27;R
0123456789;2019-06-19 15:00:00;0,45;R;28;R
0123456789;2019-06-19 14:00:00;0,76;R;28;R
0123456789;2019-06-19 13:00:00;0,56;R;27;R
0123456789;2019-06-19 12:00:00;0,34;R;26;R
0123456789;2019-06-19 11:00:00;0,68;R;25;R
0123456789;2019-06-19 10:00:00;0,37;R;25;R
0123456789;2019-06-19 09:00:00;2,93;R;24;R
0123456789;2019-06-19 08:00:00;0,88;R;23;R
0123456789;2019-06-19 07:00:00;0,37;R;22;R
0123456789;2019-06-19 06:00:00;0,68;R;19;R
0123456789;2019-06-19 05:00:00;0,36;R;18;R
0123456789;2019-06-19 04:00:00;0,38;R;17;R
0123456789;2019-06-19 03:00:00;0,34;R;17;R
0123456789;2019-06-19 02:00:00;0,36;R;17;R
0123456789;2019-06-19 01:00:00;0,38;R;17;R
0123456789;2019-06-19 00:00:00;0,35;R;17;R
0123456789;2019-06-18 23:00:00;0,68;R;18;R
0123456789;2019-06-18 22:00:00;2,02;R;19;R
0123456789;2019-06-18 21:00:00;4,04;R;20;R
0123456789;2019-06-18 20:00:00;1,69;R;21;R
0123456789;2019-06-18 19:00:00;1,04;R;24;R
0123456789;2019-06-18 18:00:00;0,52;R;24;R
0123456789;2019-06-18 17:00:00;0,39;R;25;R
0123456789;2019-06-18 16:00:00;0,44;R;25;R
0123456789;2019-06-18 15:00:00;0,72;R;25;R
0123456789;2019-06-18 14:00:00;0,41;R;26;R
0123456789;2019-06-18 13:00:00;0,68;R;26;R
0123456789;2019-06-18 12:00:00;0,52;R;25;R
0123456789;2019-06-18 11:00:00;0,69;R;25;R
0123456789;2019-06-18 10:00:00;0,47;R;24;R
0123456789;2019-06-18 09:00:00;0,37;R;22;R
0123456789;2019-06-18 08:00:00;2,70;R;22;R
0123456789;2019-06-18 07:00:00;1,00;R;20;R
0123456789;2019-06-18 06:00:00;0,35;R;19;R
0123456789;2019-06-18 05:00:00;0,35;R;16;R
0123456789;2019-06-18 04:00:00;0,35;R;14;R
0123456789;2019-06-18 03:00:00;0,65;R;13;R
0123456789;2019-06-18 02:00:00;0,37;R;13;R
0123456789;2019-06-18 01:00:00;0,37;R;14;R
0123456789;2019-06-18 00:00:00;0,35;R;15;R
0123456789;2019-06-17 23:00:00;0,50;R;16;R
0123456789;2019-06-17 22:00:00;0,37;R;17;R
0123456789;2019-06-17 21:00:00;0,36;R;17;R
0123456789;2019-06-17 20:00:00;0,93;R;18;R
0123456789;2019-06-17 19:00:00;0,82;R;20;R
0123456789;2019-06-17 18:00:00;0,36;R;22;R
0123456789;2019-06-17 17:00:00;0,57;R;23;R
0123456789;2019-06-17 16:00:00;1,25;R;23;R
0123456789;2019-06-17 15:00:00;1,61;R;23;R
0123456789;2019-06-17 14:00:00;0,39;R;23;R
0123456789;2019-06-17 13:00:00;0,73;R;23;R
0123456789;2019-06-17 12:00:00;0,41;R;22;R
0123456789;2019-06-17 11:00:00;0,71;R;20;R
0123456789;2019-06-17 10:00:00;0,52;R;20;R
0123456789;2019-06-17 09:00:00;0,39;R;19;R
0123456789;2019-06-17 08:00:00;0,78;R;19;R
0123456789;2019-06-17 07:00:00;0,47;R;18;R
0123456789;2019-06-17 06:00:00;0,35;R;16;R
0123456789;2019-06-17 05:00:00;0,36;R;14;R
0123456789;2019-06-17 04:00:00;0,35;R;12;R
0123456789;2019-06-17 03:00:00;0,66;R;12;R
0123456789;2019-06-17 02:00:00;0,36;R;13;R
0123456789;2019-06-17 01:00:00;0,36;R;14;R
0123456789;2019-06-17 00:00:00;0,34;R;15;R
0123456789;2019-06-16 23:00:00;0,72;R;15;R
0123456789;2019-06-16 22:00:00;0,37;R;16;R
0123456789;2019-06-16 21:00:00;1,28;R;16;R
0123456789;2019-06-16 20:00:00;2,04;R;17;R
0123456789;2019-06-16 19:00:00;0,81;R;18;R
0123456789;2019-06-16 18:00:00;0,80;R;20;R
0123456789;2019-06-16 17:00:00;1,43;R;20;R
0123456789;2019-06-16 16:00:00;1,32;R;21;R
0123456789;2019-06-16 15:00:00;0,42;R;21;R
0123456789;2019-06-16 14:00:00;0,73;R;20;R
0123456789;2019-06-16 13:00:00;0,68;R;20;R
0123456789;2019-06-16 12:00:00;1,86;R;19;R
0123456789;2019-06-16 11:00:00;1,75;R;19;R
0123456789;2019-06-16 10:00:00;1,67;R;18;R
0123456789;2019-06-16 09:00:00;2,00;R;17;R
0123456789;2019-06-16 08:00:00;0,38;R;16;R
0123456789;2019-06-16 07:00:00;0,45;R;15;R
0123456789;2019-06-16 06:00:00;0,42;R;14;R
0123456789;2019-06-16 05:00:00;0,41;R;13;R
0123456789;2019-06-16 04:00:00;0,34;R;12;R
0123456789;2019-06-16 03:00:00;0,72;R;13;R
0123456789;2019-06-16 02:00:00;0,35;R;12;R
0123456789;2019-06-16 01:00:00;0,43;R;14;R
0123456789;2019-06-16 00:00:00;0,39;R;15;R
0123456789;2019-06-15 23:00:00;0,53;R;15;R
0123456789;2019-06-15 22:00:00;0,81;R;15;R
0123456789;2019-06-15 21:00:00;0,98;R;15;R
0123456789;2019-06-15 20:00:00;5,48;R;16;R
0123456789;2019-06-15 19:00:00;2,13;R;15;R
0123456789;2019-06-15 18:00:00;2,49;R;15;R
0123456789;2019-06-15 17:00:00;4,36;R;16;R
0123456789;2019-06-15 16:00:00;1,84;R;19;R
0123456789;2019-06-15 15:00:00;0,72;R;19;R
0123456789;2019-06-15 14:00:00;1,50;R;19;R
0123456789;2019-06-15 13:00:00;0,72;R;20;R
0123456789;2019-06-15 12:00:00;1,31;R;20;R
0123456789;2019-06-15 11:00:00;1,60;R;18;R
0123456789;2019-06-15 10:00:00;0,81;R;17;R
0123456789;2019-06-15 09:00:00;0,42;R;17;R
0123456789;2019-06-15 08:00:00;0,50;R;18;R
