Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2019-10-24 23:00:00;0,86;R;7;R
0123456789;2019-10-24 22:00:00;2,24;R;8;R
0123456789;2019-10-24 21:00:00;4,39;R;8;R
0123456789;2019-10-24 20:00:00;2,69;R;7;R
0123456789;2019-10-24 19:00:00;1,07;R;7;R
0123456789;2019-10-24 18:00:00;1,25;R;8;R
0123456789;2019-10-24 17:00:00;0,55;R;9;R
0123456789;2019-10-24 16:00:00;0,49;R;11;R
0123456789;2019-10-24 15:00:00;0,94;R;12;R
0123456789;2019-10-24 14:00:00;0,54;R;13;R
0123456789;2019-10-24 13:00:00;0,39;R;13;R
0123456789;2019-10-24 12:00:00;1,21;R;13;R
0123456789;2019-10-24 11:00:00;1,02;R;12;R
0123456789;2019-10-24 10:00:00;1,99;R;12;R
0123456789;2019-10-24 09:00:00;1,20;R;13;R
0123456789;2019-10-24 08:00:00;2,24;R;11;R
0123456789;2019-10-24 07:00:00;0,58;R;9;R
0123456789;2019-10-24 06:00:00;0,43;R;10;R
0123456789;2019-10-24 05:00:00;0,43;R;8;R
0123456789;2019-10-24 04:00:00;0,34;R;9;R
0123456789;2019-10-24 03:00:00;0,36;R;9;R
0123456789;2019-10-24 02:00:00;0,39;R;9;R
0123456789;2019-10-24 01:00:00;0,34;R;10;R
0123456789;2019-10-24 00:00:00;0,72;R;11;R
0123456789;2019-10-23 23:00:00;0,36;R;10;R
0123456789;2019-10-23 22:00:00;2,89;R;10;R
0123456789;2019-10-23 21:00:00;1,13;R;10;R
0123456789;2019-10-23 20:00:00;0,62;R;10;R
0123456789;2019-10-23 19:00:00;1,11;R;10;R
0123456789;2019-10-23 18:00:00;1,54;R;12;R
0123456789;2019-10-23 17:00:00;0,69;R;13;R
0123456789;2019-10-23 16:00:00;1,27;R;13;R
0123456789;2019-10-23 15:00:00;1,09;R;14;R
0123456789;2019-10-23 14:00:00;1,00;R;15;R
0123456789;2019-10-23 13:00:00;0,61;R;14;R
0123456789;2019-10-23 12:00:00;1,00;R;14;R
0123456789;2019-10-23 11:00:00;0,83;R;14;R
0123456789;2019-10-23 10:00:00;1,93;R;13;R
0123456789;2019-10-23 09:00:00;2,03;R;13;R
0123456789;2019-10-23 08:00:00;2,02;R;12;R
0123456789;2019-10-23 07:00:00;0,67;R;11;R
0123456789;2019-10-23 06:00:00;0,88;R;11;R
0123456789;2019-10-23 05:00:00;0,56;R;11;R
0123456789;2019-10-23 04:00:00;0,57;R;12;R
0123456789;2019-10-23 03:00:00;0,58;R;12;R
0123456789;2019-10-23 02:00:00;0,55;R;12;R
0123456789;2019-10-23 01:00:00;0,53;R;12;R
0123456789;2019-10-23 00:00:00;0,83;R;12;R
0123456789;2019-10-22 23:00:00;0,46;R;12;R
0123456789;2019-10-22 22:00:00;0,59;R;11;R
0123456789;2019-10-22 21:00:00;1,01;R;12;R
0123456789;2019-10-22 20:00:00;1,56;R;12;R
0123456789;2019-10-22 19:00:00;1,44;R;12;R
0123456789;2019-10-22 18:00:00;1,26;R;12;R
0123456789;2019-10-22 17:00:00;1,90;R;12;R
0123456789;2019-10-22 16:00:00;0,71;R;13;R
0123456789;2019-10-22 15:00:00;1,62;R;14;R
