Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2021-05-09 23:00:00;1,14;R;9;R
0123456789;2021-05-09 22:00:00;0,69;R;10;R
0123456789;2021-05-09 21:00:00;1,85;R;11;R
0123456789;2021-05-09 20:00:00;3,51;R;11;R
0123456789;2021-05-09 19:00:00;3,63;R;12;R
0123456789;2021-05-09 18:00:00;1,37;R;13;R
0123456789;2021-05-09 17:00:00;1,31;R;14;R
0123456789;2021-05-09 16:00:00;2,55;R;15;R
0123456789;2021-05-09 15:00:00;3,59;R;17;R
0123456789;2021-05-09 14:00:00;4,05;R;16;R
0123456789;2021-05-09 13:00:00;3,78;R;16;R
0123456789;2021-05-09 12:00:00;1,65;R;14;R
0123456789;2021-05-09 11:00:00;1,38;R;12;R
0123456789;2021-05-09 10:00:00;2,25;R;10;R
0123456789;2021-05-09 09:00:00;2,02;R;11;R
0123456789;2021-05-09 08:00:00;1,46;R;11;R
0123456789;2021-05-09 07:00:00;0,86;R;10;R
0123456789;2021-05-09 06:00:00;0,93;R;8;R
0123456789;2021-05-09 05:00:00;0,87;R;7;R
0123456789;2021-05-09 04:00:00;0,82;R;6;R
0123456789;2021-05-09 03:00:00;0,83;R;5;R
0123456789;2021-05-09 02:00:00;1,15;R;6;R
0123456789;2021-05-09 01:00:00;0,75;R;7;R
0123456789;2021-05-09 00:00:00;0,78;R;7;R
0123456789;2021-05-08 23:00:00;0,73;R;8;R
0123456789;2021-05-08 22:00:00;0,70;R;9;R
0123456789;2021-05-08 21:00:00;1,14;R;9;R
0123456789;2021-05-08 20:00:00;0,89;R;10;R
0123456789;2021-05-08 19:00:00;1,08;R;11;R
0123456789;2021-05-08 18:00:00;1,92;R;12;R
0123456789;2021-05-08 17:00:00;1,15;R;14;R
0123456789;2021-05-08 16:00:00;0,73;R;15;R
0123456789;2021-05-08 15:00:00;2,55;R;15;R
0123456789;2021-05-08 14:00:00;2,32;R;15;R
0123456789;2021-05-08 13:00:00;1,58;R;14;R
0123456789;2021-05-08 12:00:00;3,43;R;15;R
0123456789;2021-05-08 11:00:00;1,08;R;14;R
0123456789;2021-05-08 10:00:00;0,86;R;15;R
0123456789;2021-05-08 09:00:00;1,94;R;14;R
0123456789;2021-05-08 08:00:00;1,13;R;13;R
0123456789;2021-05-08 07:00:00;0,98;R;11;R
0123456789;2021-05-08 06:00:00;0,97;R;11;R
0123456789;2021-05-08 05:00:00;0,94;R;9;R
0123456789;2021-05-08 04:00:00;0,97;R;9;R
0123456789;2021-05-08 03:00:00;1,03;R;10;R
0123456789;2021-05-08 02:00:00;1,16;R;11;R
0123456789;2021-05-08 01:00:00;0,93;R;11;R
0123456789;2021-05-08 00:00:00;0,87;R;11;R
0123456789;2021-05-07 23:00:00;0,92;R;11;R
0123456789;2021-05-07 22:00:00;1,38;R;11;R
0123456789;2021-05-07 21:00:00;2,01;R;12;R
0123456789;2021-05-07 20:00:00;2,75;R;13;R
0123456789;2021-05-07 19:00:00;3,34;R;13;R
0123456789;2021-05-07 18:00:00;2,21;R;14;R
0123456789;2021-05-07 17:00:00;1,37;R;14;R
0123456789;2021-05-07 16:00:00;1,05;R;14;R
0123456789;2021-05-07 15:00:00;0,90;R;14;R
0123456789;2021-05-07 14:00:00;1,42;R;15;R
0123456789;2021-05-07 13:00:00;1,23;R;14;R
0123456789;2021-05-07 12:00:00;1,51;R;14;R
0123456789;2021-05-07 11:00:00;1,60;R;15;R
0123456789;2021-05-07 10:00:00;2,23;R;13;R
0123456789;2021-05-07 09:00:00;3,49;R;12;R
0123456789;2021-05-07 08:00:00;1,38;R;10;R
0123456789;2021-05-07 07:00:00;1,44;R;9;R
0123456789;2021-05-07 06:00:00;0,94;R;8;R
0123456789;2021-05-07 05:00:00;1,08;R;7;R
0123456789;2021-05-07 04:00:00;1,04;R;5;R
0123456789;2021-05-07 03:00:00;0,96;R;5;R
0123456789;2021-05-07 02:00:00;0,99;R;6;R
0123456789;2021-05-07 01:00:00;0,95;R;6;R
0123456789;2021-05-07 00:00:00;1,28;R;6;R
0123456789;2021-05-06 23:00:00;0,94;R;6;R
0123456789;2021-05-06 22:00:00;2,50;R;7;R
0123456789;2021-05-06 21:00:00;3,81;R;9;R
0123456789;2021-05-06 20:00:00;3,39;R;10;R
0123456789;2021-05-06 19:00:00;2,11;R;11;R
0123456789;2021-05-06 18:00:00;2,67;R;13;R
0123456789;2021-05-06 17:00:00;1,23;R;13;R
0123456789;2021-05-06 16:00:00;1,17;R;14;R
0123456789;2021-05-06 15:00:00;1,38;R;15;R
0123456789;2021-05-06 14:00:00;1,02;R;14;R
0123456789;2021-05-06 13:00:00;1,11;R;14;R
0123456789;2021-05-06 12:00:00;1,16;R;14;R
0123456789;2021-05-06 11:00:00;1,10;R;13;R
0123456789;2021-05-06 10:00:00;1,20;R;12;R
0123456789;2021-05-06 09:00:00;1,59;R;11;R
0123456789;2021-05-06 08:00:00;1,72;R;10;R
0123456789;2021-05-06 07:00:00;0,98;R;8;R
0123456789;2021-05-06 06:00:00;0,99;R;7;R
0123456789;2021-05-06 05:00:00;0,93;R;7;R
0123456789;2021-05-06 04:00:00;1,30;R;6;R
