Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2021-07-02 23:00:00;0,35;R;16;R
0123456789;2021-07-02 22:00:00;0,37;R;17;R
0123456789;2021-07-02 21:00:00;0,41;R;17;R
0123456789;2021-07-02 20:00:00;0,35;R;18;R
0123456789;2021-07-02 19:00:00;0,37;R;18;R
0123456789;2021-07-02 18:00:00;0,42;R;18;R
0123456789;2021-07-02 17:00:00;2,39;R;19;R
0123456789;2021-07-02 16:00:00;6,79;R;19;R
0123456789;2021-07-02 15:00:00;0,53;R;20;R
0123456789;2021-07-02 14:00:00;0,79;R;19;R
0123456789;2021-07-02 13:00:00;1,42;R;20;R
0123456789;2021-07-02 12:00:00;8,34;R;18;R
0123456789;2021-07-02 11:00:00;0,38;R;19;R
0123456789;2021-07-02 10:00:00;0,43;R;19;R
0123456789;2021-07-02 09:00:00;4,64;R;18;R
0123456789;2021-07-02 08:00:00;6,31;R;18;R
0123456789;2021-07-02 07:00:00;0,71;R;17;R
0123456789;2021-07-02 06:00:00;0,39;R;17;R
0123456789;2021-07-02 05:00:00;0,37;R;16;R
0123456789;2021-07-02 04:00:00;0,69;R;16;R
0123456789;2021-07-02 03:00:00;0,43;R;15;R
0123456789;2021-07-02 02:00:00;0,35;R;16;R
0123456789;2021-07-02 01:00:00;0,41;R;16;R
0123456789;2021-07-02 00:00:00;0,39;R;17;R
0123456789;2021-07-01 23:00:00;0,37;R;17;R
0123456789;2021-07-01 22:00:00;0,41;R;18;R
0123456789;2021-07-01 21:00:00;0,79;R;21;R
0123456789;2021-07-01 20:00:00;0,98;R;22;R
0123456789;2021-07-01 19:00:00;2,32;R;23;R
0123456789;2021-07-01 18:00:00;2,49;R;23;R
0123456789;2021-07-01 17:00:00;0,58;R;24;R
0123456789;2021-07-01 16:00:00;1,29;R;24;R
0123456789;2021-07-01 15:00:00;1,85;R;24;R
0123456789;2021-07-01 14:00:00;3,24;R;25;R
0123456789;2021-07-01 13:00:00;2,10;R;24;R
0123456789;2021-07-01 12:00:00;1,43;R;24;R
0123456789;2021-07-01 11:00:00;0,70;R;23;R
0123456789;2021-07-01 10:00:00;0,51;R;23;R
0123456789;2021-07-01 09:00:00;1,45;R;22;R
0123456789;2021-07-01 08:00:00;0,89;R;22;R
0123456789;2021-07-01 07:00:00;0,36;R;21;R
0123456789;2021-07-01 06:00:00;0,74;R;20;R
0123456789;2021-07-01 05:00:00;0,42;R;19;R
0123456789;2021-07-01 04:00:00;0,38;R;18;R
0123456789;2021-07-01 03:00:00;0,51;R;18;R
0123456789;2021-07-01 02:00:00;0,40;R;18;R
0123456789;2021-07-01 01:00:00;0,39;R;19;R
0123456789;2021-07-01 00:00:00;0,35;R;19;R
0123456789;2021-06-30 23:00:00;0,50;R;20;R
0123456789;2021-06-30 22:00:00;1,12;R;20;R
0123456789;2021-06-30 21:00:00;1,66;R;21;R
0123456789;2021-06-30 20:00:00;2,43;R;22;R
0123456789;2021-06-30 19:00:00;1,25;R;23;R
0123456789;2021-06-30 18:00:00;1,02;R;24;R
0123456789;2021-06-30 17:00:00;0,53;R;23;R
0123456789;2021-06-30 16:00:00;0,45;R;23;R
0123456789;2021-06-30 15:00:00;0,45;R;22;R
0123456789;2021-06-30 14:00:00;0,80;R;25;R
0123456789;2021-06-30 13:00:00;0,47;R;22;R
0123456789;2021-06-30 12:00:00;0,83;R;25;R
0123456789;2021-06-30 11:00:00;0,64;R;23;R
0123456789;2021-06-30 10:00:00;1,72;R;26;R
0123456789;2021-06-30 09:00:00;1,28;R;25;R
0123456789;2021-06-30 08:00:00;2,57;R;25;R
0123456789;2021-06-30 07:00:00;0,55;R;24;R
0123456789;2021-06-30 06:00:00;0,51;R;24;R
0123456789;2021-06-30 05:00:00;0,90;R;24;R
0123456789;2021-06-30 04:00:00;0,57;R;24;R
0123456789;2021-06-30 03:00:00;0,52;R;23;R
0123456789;2021-06-30 02:00:00;0,68;R;22;R
0123456789;2021-06-30 01:00:00;0,58;R;22;R
0123456789;2021-06-30 00:00:00;0,81;R;23;R
0123456789;2021-06-29 23:00:00;1,20;R;23;R
0123456789;2021-06-29 22:00:00;3,86;R;23;R
0123456789;2021-06-29 21:00:00;2,77;R;23;R
0123456789;2021-06-29 20:00:00;1,76;R;23;R
0123456789;2021-06-29 19:00:00;1,83;R;24;R
0123456789;2021-06-29 18:00:00;1,77;R;24;R
0123456789;2021-06-29 17:00:00;0,99;R;26;R
0123456789;2021-06-29 16:00:00;1,37;R;26;R
0123456789;2021-06-29 15:00:00;2,02;R;25;R
0123456789;2021-06-29 14:00:00;1,55;R;25;R
0123456789;2021-06-29 13:00:00;2,74;R;28;R
0123456789;2021-06-29 12:00:00;0,82;R;28;R
0123456789;2021-06-29 11:00:00;1,81;R;28;R
0123456789;2021-06-29 10:00:00;0,47;R;28;R
0123456789;2021-06-29 09:00:00;2,89;R;27;R
0123456789;2021-06-29 08:00:00;2,08;R;27;R
0123456789;2021-06-29 07:00:00;0,81;R;26;R
0123456789;2021-06-29 06:00:00;0,58;R;24;R
0123456789;2021-06-29 05:00:00;0,66;R;24;R
0123456789;2021-06-29 04:00:00;0,78;R;23;R
0123456789;2021-06-29 03:00:00;0,52;R;23;R
0123456789;2021-06-29 02:00:00;0,52;R;23;R
0123456789;2021-06-29 01:00:00;1,13;R;23;R
0123456789;2021-06-29 00:00:00;0,51;R;24;R
0123456789;2021-06-28 23:00:00;1,73;R;25;R
0123456789;2021-06-28 22:00:00;3,17;R;26;R
0123456789;2021-06-28 21:00:00;2,75;R;26;R
0123456789;2021-06-28 20:00:00;1,47;R;26;R
0123456789;2021-06-28 19:00:00;2,25;R;27;R
0123456789;2021-06-28 18:00:00;2,75;R;29;R
0123456789;2021-06-28 17:00:00;2,05;R;30;R
0123456789;2021-06-28 16:00:00;2,15;R;29;R
0123456789;2021-06-28 15:00:00;2,71;R;30;R
0123456789;2021-06-28 14:00:00;1,81;R;27;R
0123456789;2021-06-28 13:00:00;1,01;R;31;R
0123456789;2021-06-28 12:00:00;1,69;R;29;R
0123456789;2021-06-28 11:00:00;2,11;R;29;R
0123456789;2021-06-28 10:00:00;0,43;R;28;R
0123456789;2021-06-28 09:00:00;1,45;R;27;R
0123456789;2021-06-28 08:00:00;1,11;R;28;R
0123456789;2021-06-28 07:00:00;0,43;R;26;R
0123456789;2021-06-28 06:00:00;0,35;R;26;R
0123456789;2021-06-28 05:00:00;0,38;R;25;R
0123456789;2021-06-28 04:00:00;0,39;R;24;R
0123456789;2021-06-28 03:00:00;0,39;R;25;R
0123456789;2021-06-28 02:00:00;0,35;R;25;R
0123456789;2021-06-28 01:00:00;0,77;R;25;R
0123456789;2021-06-28 00:00:00;6,13;R;25;R
0123456789;2021-06-27 23:00:00;7,41;R;26;R
0123456789;2021-06-27 22:00:00;7,58;R;26;R
0123456789;2021-06-27 21:00:00;8,69;R;27;R
0123456789;2021-06-27 20:00:00;5,53;R;28;R
0123456789;2021-06-27 19:00:00;4,39;R;29;R
0123456789;2021-06-27 18:00:00;2,42;R;30;R
0123456789;2021-06-27 17:00:00;2,03;R;31;R
