Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2019-02-22 23:00:00;2,74;R;-8;R
0123456789;2019-02-22 22:00:00;2,19;R;-7;R
0123456789;2019-02-22 21:00:00;2,92;R;-6;R
0123456789;2019-02-22 20:00:00;2,89;R;-6;R
0123456789;2019-02-22 19:00:00;4,43;R;-5;R
0123456789;2019-02-22 18:00:00;2,73;R;-4;R
0123456789;2019-02-22 17:00:00;3,57;R;-3;R
0123456789;2019-02-22 16:00:00;1,48;R;-2;R
0123456789;2019-02-22 15:00:00;1,20;R;-1;R
0123456789;2019-02-22 14:00:00;1,78;R;-1;R
0123456789;2019-02-22 13:00:00;1,59;R;-1;R
0123456789;2019-02-22 12:00:00;1,50;R;-1;R
0123456789;2019-02-22 11:00:00;1,64;R;-2;R
0123456789;2019-02-22 10:00:00;2,87;R;-2;R
0123456789;2019-02-22 09:00:00;3,89;R;-3;R
0123456789;2019-02-22 08:00:00;3,48;R;-4;R
0123456789;2019-02-22 07:00:00;5,10;R;-6;R
0123456789;2019-02-22 06:00:00;3,15;R;-8;R
0123456789;2019-02-22 05:00:00;3,13;R;-7;R
0123456789;2019-02-22 04:00:00;3,00;R;-7;R
0123456789;2019-02-22 03:00:00;2,88;R;-6;R
0123456789;2019-02-22 02:00:00;2,88;R;-6;R
0123456789;2019-02-22 01:00:00;2,33;R;-5;R
0123456789;2019-02-22 00:00:00;2,97;R;-3;R
0123456789;2019-02-21 23:00:00;2,12;R;-2;R
0123456789;2019-02-21 22:00:00;3,29;R;-1;R
0123456789;2019-02-21 21:00:00;3,33;R;0;R
0123456789;2019-02-21 20:00:00;3,57;R;1;R
0123456789;2019-02-21 19:00:00;4,03;R;2;R
0123456789;2019-02-21 18:00:00;2,41;R;2;R
0123456789;2019-02-21 17:00:00;3,20;R;2;R
0123456789;2019-02-21 16:00:00;2,14;R;2;R
0123456789;2019-02-21 15:00:00;3,17;R;3;R
0123456789;2019-02-21 14:00:00;2,55;R;3;R
0123456789;2019-02-21 13:00:00;2,98;R;2;R
0123456789;2019-02-21 12:00:00;2,59;R;1;R
0123456789;2019-02-21 11:00:00;2,61;R;-1;R
0123456789;2019-02-21 10:00:00;3,12;R;-4;R
0123456789;2019-02-21 09:00:00;3,01;R;-6;R
0123456789;2019-02-21 08:00:00;6,75;R;-7;R
0123456789;2019-02-21 07:00:00;5,56;R;-8;R
0123456789;2019-02-21 06:00:00;3,60;R;-8;R
